player,season,team,position,gp,mpg,usage,structural_influence,influence_residual,usage_percentile,influence_percentile,role_classification,canonical_archetype,influence_cv
S. Bey,2022-23,ATL,F,77.0,27.6,0.194,0.0017993170953491,-0.009733612264056472,58.98268398268398,6.0606060606060606,TERMINAL SCORER,,1.0054758605372196
B. Hyland,2022-23,LAC,G,56.0,19.4,0.271,0.0017735634158669,-0.00943398135305026,89.93506493506493,5.844155844155844,TERMINAL SCORER,TERMINAL SCORER,1.4263892542823513
L. Walker IV,2023-24,BKN,G-F,58.0,17.4,0.235,0.0016426072548613,-0.014626235523483723,77.81385281385282,4.870129870129871,TERMINAL SCORER,TERMINAL SCORER,0.6208985941893131
A. Burks,2023-24,NYK,G,66.0,18.4,0.234,0.0015436770992314,-0.009783298235518448,77.21861471861472,4.437229437229438,TERMINAL SCORER,TERMINAL SCORER,0.5489361360496537
D. Sharpe,2023-24,BKN,C,61.0,15.1,0.185,0.0014203425366297,-0.010056053198693762,53.30086580086581,3.571428571428571,TERMINAL SCORER,,0.7684194788320516
C. Johnson,2023-24,BKN,F,58.0,27.6,0.19,0.0014092972449616,-0.019252621219386885,56.709956709956714,3.354978354978355,TERMINAL SCORER,,1.0331013597847505
M. Sasser,2023-24,DET,G,71.0,19.0,0.195,0.001339902683079,-0.015740486659721144,59.68614718614719,3.0303030303030303,TERMINAL SCORER,,0.6233882310712907
M. Wagner,2024-25,ORL,F-C,30.0,18.8,0.254,0.0012765895061909,-0.01138682396703142,84.19913419913419,2.5974025974025974,TERMINAL SCORER,TERMINAL SCORER,1.1133155621877646
T. Mann,2023-24,CHA,G,41.0,24.1,0.183,0.0012337364197669,-0.011244064679148215,51.67748917748918,2.272727272727273,TERMINAL SCORER,,0.8201057181780406
J. Butler,2024-25,PHI,G,60.0,17.4,0.222,0.0011641003267943,-0.011088583377345035,71.9155844155844,1.948051948051948,TERMINAL SCORER,,0.7947185365771896
K. Simpson,2024-25,CHA,G,36.0,23.4,0.188,0.0011062345859353,-0.011161309877955753,56.11471861471862,1.7316017316017316,TERMINAL SCORER,,0.9366902253320528
D. Schröder,2023-24,BKN,G,80.0,31.1,0.202,0.0010746421472856,-0.013023710016491092,64.06926406926407,1.406926406926407,TERMINAL SCORER,,0.5935047944311359
D. Russell,2022-23,LAL,G,71.0,32.5,0.225,0.0010700164677884,-0.010649454622944206,73.48484848484848,1.2987012987012987,TERMINAL SCORER,,1.0222667228410316
K. Love,2022-23,MIA,F-C,62.0,20.0,0.185,0.0009703913083317,-0.01026176350691057,53.30086580086581,1.0822510822510822,TERMINAL SCORER,,0.6238322658503522
T. Horton-Tucker,2022-23,UTA,G,65.0,20.2,0.25,0.0009035956901424,-0.021254821092485263,82.84632034632034,0.6493506493506493,TERMINAL SCORER,TERMINAL SCORER,1.175940918243218
