player,season,team,position,gp,mpg,usage,structural_influence,influence_residual,usage_percentile,influence_percentile,role_classification,canonical_archetype,influence_cv
M. Robinson,2023-24,NYK,C-F,31.0,24.8,0.099,0.0133580484848244,0.0021485928190737094,1.0822510822510822,65.04329004329004,CONNECTOR / HUB,CONNECTOR / HUB,1.2234958449322924
N. Batum,2023-24,PHI,G-F,60.0,25.5,0.085,0.0131723448015964,0.001542639654333839,0.4329004329004329,64.28571428571429,CONNECTOR / HUB,CONNECTOR / HUB,0.15501650437965228
K. Martin,2024-25,UTA,F,43.0,21.2,0.112,0.0131002155662782,0.001925833332001456,4.437229437229438,63.961038961038966,CONNECTOR / HUB,CONNECTOR / HUB,0.8061699511135376
J. Wiseman,2023-24,DET,C,63.0,17.3,0.158,0.0130775377441849,0.0005824249877385036,31.493506493506494,63.85281385281385,CONNECTOR / HUB,,0.62131682327135
K. Williams,2022-23,OKC,G-F,53.0,22.8,0.134,0.013066971317636,0.0007408658349515023,13.582251082251082,63.74458874458875,CONNECTOR / HUB,CONNECTOR / HUB,0.5448202831665058
N. Richards,2024-25,PHX,C,57.0,22.0,0.169,0.0129065808923671,0.0011316566227850561,40.909090909090914,63.31168831168831,CONNECTOR / HUB,,1.3808639143817765
J. Battle,2024-25,TOR,F,59.0,17.7,0.147,0.012901090304374,0.00016855781447890593,22.78138528138528,63.20346320346321,CONNECTOR / HUB,CONNECTOR / HUB,1.0882593345017322
J. Ingles,2022-23,MIL,F-G,46.0,22.7,0.122,0.0126261559532295,0.0006327490991334984,7.35930735930736,62.01298701298701,CONNECTOR / HUB,CONNECTOR / HUB,0.6370697774903632
K. Looney,2024-25,GSW,F,76.0,15.0,0.125,0.0120155595063872,0.0005817019981761637,9.090909090909092,60.82251082251082,CONNECTOR / HUB,CONNECTOR / HUB,1.4170728902256025
T. Young,2024-25,ATL,G,76.0,36.0,0.285,0.3802506243943347,0.302682983632742,93.18181818181817,99.56709956709958,PRIMARY ORGANIZER,PRIMARY ORGANIZER,1.8835899359480401
S. Gilgeous-Alexander,2022-23,OKC,G,68.0,35.5,0.318,0.3348528830175707,0.25344123924227635,98.16017316017316,99.45887445887446,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.37902491406051747
D. Ayton,2023-24,POR,C,55.0,32.4,0.211,0.3268336894676507,0.3047437280202838,68.34415584415584,99.35064935064936,PRIMARY ORGANIZER,,1.1685350517008632
S. Gilgeous-Alexander,2023-24,OKC,G,75.0,34.0,0.317,0.3080798315504934,0.2157507997423015,98.05194805194806,99.24242424242425,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.37902491406051747
J. Embiid,2022-23,PHI,C-F,66.0,34.6,0.37,0.2784868386387999,0.19258713405285405,99.78354978354979,99.02597402597402,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.5643678222829471
A. Davis,2022-23,LAL,F-C,56.0,34.0,0.277,0.2577126448329505,0.2192233630103495,91.88311688311688,98.91774891774891,PRIMARY ORGANIZER,PRIMARY ORGANIZER,1.27204179631068
G. Antetokounmpo,2023-24,MIL,F,73.0,35.2,0.32,0.2538618894199487,0.164071448375682,98.37662337662337,98.80952380952381,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.5859960177172476
S. Gilgeous-Alexander,2024-25,OKC,G,76.0,34.2,0.336,0.2385049838360509,0.13057777524724518,99.13419913419914,98.48484848484848,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.37902491406051747
N. Vučević,2024-25,CHI,C,73.0,31.2,0.221,0.2180464975364995,0.18105783315255136,71.5909090909091,98.37662337662337,PRIMARY ORGANIZER,,0.9324184929980667
B. Adebayo,2023-24,MIA,C-F,71.0,34.0,0.247,0.2112227535412442,0.16645912379110822,81.87229437229438,98.16017316017316,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.4752101477637656
G. Antetokounmpo,2022-23,MIL,F,63.0,32.1,0.373,0.2036965485521514,0.12063643379383661,99.89177489177489,98.05194805194806,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.5859960177172476
J. Embiid,2023-24,PHI,C-F,39.0,33.6,0.387,0.1895600469060848,0.15339910892735995,100.0,97.83549783549783,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.5643678222829471
B. Lopez,2022-23,MIL,C,78.0,30.4,0.187,0.1876647959875315,0.1566800578103945,55.35714285714286,97.72727272727273,PRIMARY ORGANIZER,,1.4214459434458209
G. Antetokounmpo,2024-25,MIL,F,67.0,34.2,0.346,0.187273108177547,0.10760518789618001,99.45887445887446,97.61904761904762,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.5859960177172476
A. Davis,2023-24,LAL,F-C,76.0,35.5,0.261,0.1683706523607973,0.10470342081624709,86.41774891774891,97.2943722943723,PRIMARY ORGANIZER,PRIMARY ORGANIZER,1.27204179631068
K. Kuzma,2023-24,WAS,F,70.0,32.6,0.295,0.1630704994556505,0.09963711053100156,95.34632034632034,97.18614718614718,PRIMARY ORGANIZER,PRIMARY ORGANIZER,1.6358048339831333
A. Sengun,2024-25,HOU,C,76.0,31.5,0.259,0.1567460883139347,0.10648178195963023,85.76839826839827,97.07792207792207,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.3358562577458568
N. Jokić,2024-25,DEN,C,70.0,36.7,0.285,0.1446763674355945,0.06747294119906846,93.18181818181817,96.86147186147186,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.6632044444460781
J. Brunson,2024-25,NYK,G,65.0,35.4,0.289,0.1427999474087397,0.08518141866065004,94.53463203463204,96.75324675324676,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.6539003959349827
A. Sengun,2023-24,HOU,C,63.0,32.5,0.27,0.1357078293061855,0.09314106327661226,89.44805194805194,96.53679653679653,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.3358562577458568
A. Sengun,2022-23,HOU,C,75.0,28.9,0.211,0.1302083556847089,0.09812129111914979,68.34415584415584,96.32034632034632,PRIMARY ORGANIZER,,0.3358562577458568
A. Drummond,2023-24,CHI,C,79.0,17.1,0.201,0.1276007283284282,0.11451418599182238,63.25757575757576,96.21212121212122,PRIMARY ORGANIZER,,1.1182757722528849
B. Adebayo,2024-25,MIA,C-F,78.0,34.3,0.232,0.122575821830537,0.07443163353234497,76.24458874458875,96.1038961038961,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.4752101477637656
D. Ayton,2024-25,POR,C,40.0,30.1,0.197,0.1223121665917559,0.10797725428685007,61.038961038961034,95.995670995671,PRIMARY ORGANIZER,,1.1685350517008632
J. Poole,2024-25,WAS,G,68.0,29.4,0.281,0.11849877076251,0.07471738661354954,92.26190476190477,95.88744588744589,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.7676569892035962
D. DeRozan,2022-23,CHI,G-F,74.0,36.2,0.272,0.1139124541919853,0.04322394935337437,90.25974025974025,95.67099567099568,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.20440961846535585
A. Edwards,2024-25,MIN,G,79.0,36.3,0.307,0.111248793023121,0.001768569558755012,97.13203463203463,95.34632034632034,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.6693692578005047
D. DeRozan,2024-25,SAC,G-F,77.0,35.9,0.244,0.1089547995506309,0.045905097112040064,81.06060606060606,95.12987012987013,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.20440961846535585
D. Sabonis,2022-23,SAC,F-C,79.0,34.6,0.213,0.106834832406642,0.06748865032988456,69.1017316017316,95.02164502164501,PRIMARY ORGANIZER,,0.7152165768816763
J. Poole,2023-24,WAS,G,78.0,30.1,0.256,0.1024566734475079,0.053172632299321454,84.95670995670996,94.8051948051948,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.7676569892035962
L. Dončić,2022-23,DAL,F-G,66.0,36.2,0.368,0.1014752708988042,0.015111599926187144,99.67532467532467,94.6969696969697,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.7093615865588554
J. Allen,2023-24,CLE,C,77.0,31.7,0.191,0.1004599739289604,0.07490975000428603,57.1969696969697,94.58874458874459,PRIMARY ORGANIZER,,0.7600715920535114
B. Adebayo,2022-23,MIA,C-F,75.0,34.6,0.251,0.0941623509128199,0.04193011435927312,83.38744588744589,94.26406926406926,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.4752101477637656
M. Bridges,2024-25,NYK,G-F,82.0,37.0,0.192,0.0928988261882821,0.04516239829319783,57.95454545454546,94.04761904761905,PRIMARY ORGANIZER,,1.281958532165081
D. Avdija,2023-24,WAS,F,75.0,30.1,0.196,0.0904979106418266,0.05968538439317766,60.443722943722946,93.83116883116884,PRIMARY ORGANIZER,,1.3386835277359643
B. Portis,2022-23,MIL,F,70.0,26.0,0.211,0.0887659730867088,0.0652156246805812,68.34415584415584,93.5064935064935,PRIMARY ORGANIZER,,0.7384267573753629
D. DeRozan,2023-24,CHI,G-F,79.0,37.8,0.252,0.0868560284636067,0.010026311597842216,83.71212121212122,93.18181818181817,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.20440961846535585
J. Murray,2024-25,DEN,G,67.0,36.1,0.235,0.0850728501783716,0.039952487576291905,77.81385281385282,93.07359307359307,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.7425336970115333
Z. Williamson,2023-24,NOP,F,70.0,31.5,0.285,0.0845662694168258,0.024643448006962602,93.18181818181817,92.96536796536796,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.8431114870755151
V. Wembanyama,2023-24,SAS,F-C,71.0,29.7,0.312,0.0838056802942821,0.032207352851351304,97.67316017316018,92.74891774891775,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.9443908579118646
I. Zubac,2024-25,LAC,C,80.0,32.8,0.192,0.083472754955764,0.049297441857322266,57.95454545454546,92.64069264069265,PRIMARY ORGANIZER,,0.7415824428262356
J. Harden,2024-25,LAC,G,79.0,35.3,0.286,0.0817412506533713,0.009365439805968323,93.61471861471861,92.53246753246754,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.8640332611882473
M. Turner,2022-23,IND,C-F,62.0,29.4,0.225,0.0795580178701566,0.053241328206437497,73.48484848484848,92.42424242424242,PRIMARY ORGANIZER,,0.8514927696608325
D. Booker,2022-23,PHX,G,53.0,34.6,0.311,0.0762407287527856,0.026735926060119278,97.45670995670996,92.20779220779221,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.37951420873158287
D. Sabonis,2023-24,SAC,F-C,82.0,35.7,0.22,0.0756295036805867,0.025721479769862943,71.04978354978356,91.991341991342,PRIMARY ORGANIZER,,0.7152165768816763
D. Booker,2023-24,PHX,G,68.0,36.0,0.289,0.0746648393183542,0.0030046695942395757,94.53463203463204,91.88311688311688,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.37951420873158287
K. Porziņģis,2022-23,WAS,F-C,65.0,32.6,0.272,0.0734533684241733,0.02769732519061991,90.25974025974025,91.66666666666666,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.7649488042206118
J. Poeltl,2024-25,TOR,C,57.0,29.6,0.184,0.0701683790414057,0.05319934397742519,52.435064935064936,91.12554112554112,PRIMARY ORGANIZER,,0.8930150405104541
B. Mathurin,2024-25,IND,G-F,72.0,29.9,0.222,0.0696350227555256,0.03575061843956066,71.9155844155844,91.01731601731602,PRIMARY ORGANIZER,,0.9550548940297201
F. VanVleet,2023-24,HOU,G,73.0,36.8,0.194,0.0656759772388013,0.028626824636574844,58.98268398268398,90.47619047619048,PRIMARY ORGANIZER,,0.6425700780117245
M. Wagner,2022-23,ORL,F-C,57.0,19.5,0.201,0.0640872531638022,0.048381048539388696,63.25757575757576,90.25974025974025,PRIMARY ORGANIZER,,1.1133155621877646
J. Valančiūnas,2022-23,NOP,C,79.0,24.9,0.229,0.0639964787747375,0.038682795160673716,74.78354978354979,90.15151515151516,PRIMARY ORGANIZER,,0.7687920238163478
J. Murray,2022-23,DEN,G,65.0,32.8,0.256,0.0584723458885675,0.016359014659203294,84.95670995670996,89.6103896103896,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.7425336970115333
N. Vučević,2023-24,CHI,C,76.0,34.3,0.233,0.0576029641308831,0.008367401623667753,76.67748917748918,89.5021645021645,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.9324184929980667
Z. Collins,2022-23,SAS,F-C,63.0,22.9,0.209,0.0567117446410272,0.039250444874883814,67.15367965367966,89.39393939393939,PRIMARY ORGANIZER,,1.4124269429730902
T. McConnell,2023-24,IND,G,71.0,18.2,0.229,0.0562713920754125,0.03607272708719532,74.78354978354979,89.28571428571429,PRIMARY ORGANIZER,,0.6180958630629003
P. Banchero,2024-25,ORL,F,46.0,34.4,0.33,0.0555297940819043,0.017157128531412054,98.91774891774891,88.96103896103897,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.7065405549044375
N. Jokić,2022-23,DEN,C,69.0,33.7,0.263,0.0533650277503937,0.00386337908082382,86.95887445887446,88.74458874458875,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.6632044444460781
D. Sabonis,2024-25,SAC,F-C,70.0,34.7,0.213,0.0524918380781921,0.018422680465436096,69.1017316017316,88.52813852813853,PRIMARY ORGANIZER,,0.7152165768816763
L. Shamet,2023-24,WAS,G,46.0,15.8,0.181,0.0495956752681946,0.03729097342282605,50.21645021645021,87.98701298701299,PRIMARY ORGANIZER,,1.308027459120657
J. Holiday,2022-23,MIL,G,67.0,32.6,0.244,0.047721281419386,0.011321814647492622,81.06060606060606,87.44588744588745,PRIMARY ORGANIZER,PRIMARY ORGANIZER,1.4053010778988018
J. Sochan,2024-25,SAS,F,54.0,25.3,0.184,0.0474716119637177,0.03091922484388937,52.435064935064936,87.22943722943724,PRIMARY ORGANIZER,,1.2383513139338553
L. Markkanen,2024-25,UTA,F-C,47.0,31.4,0.231,0.0466663297271257,0.023181006540294716,75.86580086580086,86.7965367965368,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.9805084497468616
T. McConnell,2022-23,IND,G,75.0,20.4,0.182,0.0458196358970429,0.02764003106824334,50.91991341991342,86.47186147186147,PRIMARY ORGANIZER,,0.6180958630629003
B. Mathurin,2022-23,IND,G-F,78.0,28.5,0.235,0.0445799382104609,0.0014013833711736118,77.81385281385282,86.03896103896103,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.9550548940297201
S. Barnes,2024-25,TOR,F-G,65.0,32.8,0.262,0.0443049913136792,0.0014571993230478725,86.68831168831169,85.82251082251082,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.5481493175693072
M. Porter Jr.,2023-24,DEN,F,81.0,31.7,0.202,0.0411162770199599,0.0017992697725459847,64.06926406926407,85.17316017316018,PRIMARY ORGANIZER,,0.5335565795256351
K. Porziņģis,2023-24,BOS,F-C,57.0,29.6,0.247,0.0379890503908946,0.010201636188679822,81.87229437229438,84.4155844155844,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.7649488042206118
M. Porter Jr.,2022-23,DEN,F,62.0,29.0,0.22,0.037553311753665,0.009467195164104263,71.04978354978356,83.98268398268398,PRIMARY ORGANIZER,,0.5335565795256351
N. Reid,2022-23,MIN,C-F,68.0,18.4,0.242,0.0368308408751263,0.01727855355614675,80.57359307359307,83.65800865800865,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.8585911270023678
A. Sarr,2024-25,WAS,C,67.0,27.1,0.23,0.0364852165768332,0.008390607465729439,75.37878787878788,83.54978354978356,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.3054935024213984
D. Ayton,2022-23,PHX,C,67.0,30.4,0.231,0.0360622989826506,0.006201202448582261,75.86580086580086,83.11688311688312,PRIMARY ORGANIZER,PRIMARY ORGANIZER,1.1685350517008632
C. Paul,2022-23,PHX,G,59.0,32.0,0.195,0.0358497284977179,0.013455655051331398,59.68614718614719,83.008658008658,PRIMARY ORGANIZER,,0.6701853140857533
J. Valančiūnas,2023-24,NOP,C,82.0,23.5,0.207,0.0353551804150548,0.013617714076856222,66.17965367965368,82.68398268398268,PRIMARY ORGANIZER,,0.7687920238163478
B. Portis,2023-24,MIL,F,82.0,24.5,0.224,0.0349075032994752,0.005206326927657604,72.94372294372295,82.57575757575758,PRIMARY ORGANIZER,,0.7384267573753629
K. Middleton,2024-25,WAS,F,37.0,22.8,0.208,0.032554287384276,0.021305483048597123,66.61255411255411,81.16883116883116,PRIMARY ORGANIZER,,0.8787470727765332
M. Wagner,2023-24,ORL,F-C,80.0,17.7,0.22,0.0313430185669679,0.011330450229073225,71.04978354978356,80.84415584415584,PRIMARY ORGANIZER,,1.1133155621877646
B. Portis,2024-25,MIL,F,49.0,25.4,0.234,0.0310337644630904,0.013415650397922377,77.21861471861472,80.62770562770562,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.7384267573753629
M. Fultz,2022-23,ORL,G,60.0,29.6,0.208,0.0302841639838671,0.00507494483793609,66.61255411255411,79.87012987012987,PRIMARY ORGANIZER,,1.32356405807253
M. Turner,2024-25,IND,C-F,72.0,30.2,0.207,0.030113175519203,0.00199536204207695,66.17965367965368,79.65367965367966,PRIMARY ORGANIZER,,0.8514927696608325
R. Jackson,2023-24,DEN,G,82.0,22.2,0.209,0.0283098567744403,0.0011532322577205295,67.15367965367966,78.67965367965368,PRIMARY ORGANIZER,,1.2820015167963432
M. Williams,2024-25,CHA,C,44.0,26.6,0.21,0.0275379493934224,0.012921998989095367,67.8030303030303,78.46320346320347,PRIMARY ORGANIZER,,0.479444873406174
M. Smart,2024-25,WAS,G,34.0,20.0,0.198,0.0270135520110593,0.01582216356814784,61.58008658008658,78.24675324675324,PRIMARY ORGANIZER,,1.1738494603183016
C. Anthony,2022-23,ORL,G,60.0,25.9,0.209,0.0264754015676136,0.005687641071105642,67.15367965367966,77.92207792207793,PRIMARY ORGANIZER,,0.5670568092541495
J. Nurkić,2022-23,POR,C,52.0,26.8,0.218,0.0262190417202772,0.008354213759254565,70.23809523809523,77.7056277056277,PRIMARY ORGANIZER,,0.7877415297233742
K. Middleton,2022-23,MIL,F,33.0,24.3,0.259,0.0258206947595407,0.011220304221373155,85.76839826839827,77.27272727272727,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.8787470727765332
T. McConnell,2024-25,IND,G,79.0,17.9,0.226,0.0251850917841502,0.004191194867183664,73.91774891774891,77.16450216450217,PRIMARY ORGANIZER,,0.6180958630629003
D. Vassell,2022-23,SAS,G-F,38.0,31.0,0.24,0.0241303918349634,0.005745253379895704,80.14069264069265,76.40692640692642,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.3151847852085443
K. Irving,2022-23,DAL,G,60.0,37.3,0.286,0.0231730067122291,0.008560708075356378,93.61471861471861,75.0,PRIMARY ORGANIZER,PRIMARY ORGANIZER,0.5118427587308969
J. Nowell,2022-23,MIN,G,65.0,19.3,0.238,0.0227218218531999,0.0026564129234265405,79.11255411255411,74.89177489177489,PRIMARY ORGANIZER,PRIMARY ORGANIZER,1.2520034206339798
I. Collier,2024-25,UTA,G,71.0,25.9,0.186,0.0205957443695417,0.0001423897827029022,54.38311688311688,73.37662337662337,PRIMARY ORGANIZER,,0.386189704447335
T. Horton-Tucker,2023-24,UTA,G,51.0,19.8,0.234,0.0194531549107398,0.0037468193069937344,77.21861471861472,72.07792207792207,PRIMARY ORGANIZER,PRIMARY ORGANIZER,1.175940918243218
J. Sochan,2022-23,SAS,F,56.0,26.0,0.195,0.0194079137420976,0.001865241131647953,59.68614718614719,71.96969696969697,PRIMARY ORGANIZER,,1.2383513139338553
J. Suggs,2022-23,ORL,G,53.0,23.5,0.196,0.0178510334826351,0.0024965735578022456,60.443722943722946,70.12987012987013,PRIMARY ORGANIZER,,0.568617912769335
J. Smith,2024-25,CHI,F-C,64.0,15.0,0.201,0.0149771808956896,0.0010676717105208133,63.25757575757576,67.74891774891775,PRIMARY ORGANIZER,,0.4491926231387758
D. Sharpe,2024-25,BKN,C,50.0,18.1,0.186,0.0134520104074272,0.0016802316678922163,54.38311688311688,65.47619047619048,PRIMARY ORGANIZER,,0.7684194788320516
J. Williams,2024-25,OKC,G-F,47.0,16.7,0.141,0.0364192794574446,-0.012745901760470794,18.344155844155843,83.38744588744589,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.5734206245879176
T. Harris,2024-25,DET,F,73.0,31.6,0.173,0.0225795190303367,-0.003171531726316977,43.61471861471862,74.78354978354979,ROLE OCCUPANT / SPECIALIST,,0.49187637120719824
A. Gordon,2023-24,DEN,F,73.0,31.5,0.174,0.02161179796282,-0.0010904292962637084,44.53463203463203,73.91774891774891,ROLE OCCUPANT / SPECIALIST,,0.4404598413658717
T. Hardaway Jr.,2024-25,DET,G-F,77.0,28.0,0.151,0.0213277387187547,-0.0018564046848630264,25.757575757575758,73.80952380952381,ROLE OCCUPANT / SPECIALIST,,0.5529650932238901
J. Green,2023-24,HOU,F,78.0,16.8,0.152,0.0195984310920611,-0.050532413149644344,26.56926406926407,72.24025974025975,ROLE OCCUPANT / SPECIALIST,,1.356105897210686
G. Allen,2023-24,PHX,G,75.0,33.5,0.143,0.0193166254570892,-0.0030442308813619263,20.075757575757574,71.86147186147186,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.9031208873389873
K. Murray,2024-25,SAC,F,76.0,34.3,0.148,0.0192280761537902,-0.007410928088702338,23.32251082251082,71.64502164502164,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.8081909774903333
D. Brooks,2024-25,HOU,G-F,75.0,31.8,0.176,0.0192180421919144,-0.00988009608803363,46.48268398268398,71.53679653679653,ROLE OCCUPANT / SPECIALIST,,0.20543820525005013
J. Smith Jr.,2023-24,HOU,F,76.0,31.9,0.174,0.0191770510612148,-0.007997269827424824,44.53463203463203,71.42857142857143,ROLE OCCUPANT / SPECIALIST,,0.42570793124596074
R. O'Neale,2022-23,BKN,F,76.0,31.7,0.136,0.0180531925008067,-0.0003771338065940745,15.259740259740258,70.56277056277057,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.7935672730057617
B. Lopez,2024-25,MIL,C,80.0,31.8,0.157,0.0179275758139457,-0.00893150712217253,30.681818181818183,70.45454545454545,ROLE OCCUPANT / SPECIALIST,,1.4214459434458209
M. Strus,2023-24,CLE,G-F,70.0,32.0,0.167,0.0178767706372425,-0.0064481649822879655,39.33982683982684,70.23809523809523,ROLE OCCUPANT / SPECIALIST,,0.6649262170461345
A. Nesmith,2023-24,IND,G-F,72.0,27.7,0.158,0.015801760552304,-0.004997763700244278,31.493506493506494,68.93939393939394,ROLE OCCUPANT / SPECIALIST,,0.5587818464918588
A. Caruso,2023-24,CHI,G,71.0,28.7,0.146,0.0152814490918721,-0.002967027607560794,22.023809523809522,68.5064935064935,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5496154950808063
K. Dunn,2024-25,LAC,G,74.0,24.1,0.126,0.0152282869753516,-0.0004500343811489286,9.469696969696969,68.3982683982684,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.7233745341055344
G. Niang,2022-23,PHI,F,78.0,19.4,0.162,0.0151882092972828,-0.0025173021150401396,35.443722943722946,68.18181818181817,ROLE OCCUPANT / SPECIALIST,,0.5587256649584714
E. Gordon,2023-24,PHX,G,68.0,27.8,0.162,0.0148621402273289,-0.0056457973087980454,35.443722943722946,67.42424242424242,ROLE OCCUPANT / SPECIALIST,,0.6609983980340896
K. Murray,2022-23,SAC,F,80.0,29.8,0.156,0.0147346902729348,-0.009594743867067554,29.49134199134199,67.31601731601732,ROLE OCCUPANT / SPECIALIST,,0.8081909774903333
A. Coffey,2024-25,LAC,G-F,72.0,24.3,0.15,0.0146582805981387,-0.003260911312794183,25.0,67.09956709956711,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.7509933639314454
D. Jones Jr.,2023-24,DAL,F,76.0,23.5,0.146,0.0143802939740729,-0.002216568477613144,22.023809523809522,66.77489177489177,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.486135920863259
D. Brooks,2023-24,HOU,G-F,72.0,30.9,0.176,0.0143682622855801,-0.011948427378139002,46.48268398268398,66.66666666666666,ROLE OCCUPANT / SPECIALIST,,0.20543820525005013
Z. Williams,2024-25,BKN,F,63.0,24.5,0.179,0.0142407874949928,-0.0020897264838231674,48.86363636363637,66.34199134199135,ROLE OCCUPANT / SPECIALIST,,0.9967600280370151
B. Lopez,2023-24,MIL,C,79.0,30.5,0.156,0.0141801176110128,-0.010186510493787758,29.49134199134199,66.23376623376623,ROLE OCCUPANT / SPECIALIST,,1.4214459434458209
C. White,2022-23,CHI,G,74.0,23.4,0.17,0.0139097129629764,-0.006515753924309123,41.66666666666667,65.9090909090909,ROLE OCCUPANT / SPECIALIST,,0.8330093471883336
M. Beasley,2023-24,MIL,G,79.0,29.6,0.142,0.0133778662239703,-0.008391615920965302,19.047619047619047,65.15151515151516,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.6880762725914273
M. McBride,2024-25,NYK,G,64.0,24.9,0.162,0.0132533736869312,-0.003480605675120702,35.443722943722946,64.71861471861472,ROLE OCCUPANT / SPECIALIST,,1.0614945044651645
C. Kispert,2024-25,WAS,F,61.0,26.3,0.169,0.0132384336005012,-0.006010169246137656,40.909090909090914,64.6103896103896,ROLE OCCUPANT / SPECIALIST,,0.9801131904070182
F. VanVleet,2024-25,HOU,G,60.0,35.2,0.176,0.0132343865073851,-0.010186716186448667,46.48268398268398,64.5021645021645,ROLE OCCUPANT / SPECIALIST,,0.6425700780117245
P. Watson,2024-25,DEN,G,68.0,24.3,0.138,0.0132193224519054,-0.002727108158972459,16.071428571428573,64.39393939393939,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.39720140246566693
J. Champagnie,2024-25,SAS,F,82.0,23.6,0.164,0.0129982920804482,-0.00903369834601333,36.85064935064935,63.528138528138534,ROLE OCCUPANT / SPECIALIST,,1.8799652648179934
W. Kessler,2024-25,UTA,C,58.0,30.0,0.133,0.0128878221684535,-0.0005760019753257867,12.878787878787879,62.878787878787875,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,1.1701973280387763
A. Horford,2022-23,BOS,C-F,63.0,30.5,0.119,0.0127659351344413,-0.002309466465308928,6.3852813852813854,62.44588744588745,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.46727421622347326
A. Dosunmu,2023-24,CHI,G,76.0,29.1,0.168,0.0127290892057836,-0.013304860324563102,40.04329004329004,62.33766233766234,ROLE OCCUPANT / SPECIALIST,,0.38860787905867733
A. Reaves,2022-23,LAL,G,64.0,28.8,0.154,0.0126364943840967,-0.007012098525810192,27.380952380952383,62.121212121212125,ROLE OCCUPANT / SPECIALIST,,0.7262241903732407
A. Green,2024-25,MIL,G,73.0,22.7,0.123,0.0124871987042888,-0.0018814926884490098,7.954545454545454,61.471861471861466,ROLE OCCUPANT / SPECIALIST,ROLE OCCUPANT / SPECIALIST,0.5228886762066121
R. O'Neale,2024-25,PHX,F,75.0,24.5,0.151,0.0119321173699,-0.005932349028236991,25.757575757575758,60.71428571428571,ROLE OCCUPANT / SPECIALIST,,0.7935672730057617
G. Trent Jr.,2024-25,MIL,G,74.0,25.6,0.168,0.0116312768017381,-0.01013928529436888,40.04329004329004,59.74025974025974,ROLE OCCUPANT / SPECIALIST,,0.2135414942380127
