t_id,t_name,t_ts,t_usage,t_L,t_DA,t_Dpi,c_id,c_name,c_ts,c_usage,c_L,c_DA,c_Dpi,c_role,du,same_ts,d_DA,d_Dpi
1642267,Bub Carrington,WAS 2024-25,0.154,0.0891019082934972,0.06241941136832496,0.05716299272913935,1630537,Chris Duarte,IND 2022-23,0.181,0.0071355695471484,0.05448509497123777,0.03715800625355095,TERMINAL SCORER,0.026999999999999996,0,0.007934316397087193,0.020004986475588397
1631255,Karlo Matković,NOP 2024-25,0.155,0.0182987771487722,0.13248102253569694,0.051883052787732656,1641810,Antonio Reeves,NOP 2024-25,0.183,0.0048215803267421,0.09866020846671197,0.06595166783004601,TERMINAL SCORER,0.027999999999999997,1,0.03382081406898496,-0.014068615042313354
1629651,Nic Claxton,BKN 2023-24,0.156,0.0689299074424872,0.09911961857113039,0.046059852104693634,1630549,Day'Ron Sharpe,BKN 2023-24,0.185,0.0014203425366297,0.10110200100851385,0.04181653065006414,TERMINAL SCORER,0.028999999999999998,1,-0.0019823824373834675,0.004243321454629495
1642273,Kyshawn George,WAS 2024-25,0.156,0.0592002928445739,0.07868223035858568,0.044858653290510406,1631105,Jalen Duren,DET 2023-24,0.181,0.0173340494176917,0.0780520694784006,0.0418565881571133,TERMINAL SCORER,0.024999999999999994,0,0.0006301608801850822,0.003002065133397104
1630164,James Wiseman,DET 2023-24,0.158,0.0130775377441849,0.11470980743916515,0.05597803126320236,203095,Evan Fournier,DET 2023-24,0.187,0.0018935891180553,0.08637831941516882,0.029341705493247088,TERMINAL SCORER,0.028999999999999998,1,0.02833148802399632,0.026636325769955272
1630231,KJ Martin,HOU 2022-23,0.16,0.0343783355115432,0.17238640498378233,0.04268009082416235,1631095,Jabari Smith Jr.,HOU 2022-23,0.183,0.0202227251665387,0.1353179486582693,0.06843343585566478,TERMINAL SCORER,0.022999999999999993,1,0.03706845632551303,-0.025753345031502423
1627884,Derrick Jones Jr.,LAC 2024-25,0.16,0.0300437682465923,0.07892890648188011,0.040000876704954544,203992,Bogdan Bogdanović,LAC 2024-25,0.183,0.0018949205246252,0.13130005850869686,0.09144057552760072,TERMINAL SCORER,0.022999999999999993,1,-0.05237115202681675,-0.05143969882264618
1630167,Obi Toppin,IND 2023-24,0.16,0.0232377997340472,0.11651407654869295,0.04612598395876115,1630188,Jalen Smith,IND 2023-24,0.187,0.0112913594453994,0.10816843175464907,0.024973338942754567,TERMINAL SCORER,0.026999999999999996,1,0.008345644794043872,0.021152645016006583
1626145,Tyus Jones,WAS 2023-24,0.161,0.1174596951236596,0.36948606307725673,0.060134814872975874,1630557,Corey Kispert,WAS 2023-24,0.191,0.0039145204448984,0.15037001598799682,0.03116708592244599,TERMINAL SCORER,0.03,1,0.2191160470892599,0.028967728950529886
1631105,Jalen Duren,DET 2024-25,0.161,0.1721338288700984,0.2545405844399712,0.07371604767458538,1641709,Ausar Thompson,DET 2024-25,0.185,0.0161392490047286,0.10088564222120966,0.0712603103592898,TERMINAL SCORER,0.023999999999999994,1,0.15365494221876153,0.002455737315295581
1628386,Jarrett Allen,CLE 2022-23,0.162,0.0247697705464631,0.06690385323844272,0.07233305256313635,1627747,Caris LeVert,CLE 2022-23,0.183,0.0116952611164931,0.103069685772322,0.04156888582404972,TERMINAL SCORER,0.02099999999999999,1,-0.03616583253387928,0.030764166739086635
1627826,Ivica Zubac,LAC 2023-24,0.165,0.0310186668266509,0.15325355792003792,0.09074349651135039,1626181,Norman Powell,LAC 2023-24,0.193,0.0057312392468316,0.08424415032715593,0.07981077799919481,TERMINAL SCORER,0.027999999999999997,1,0.06900940759288199,0.010932718512155576
1630543,Isaiah Jackson,IND 2022-23,0.165,0.2029695916284357,0.4168330023884472,0.050761353640714504,1629670,Jordan Nwora,IND 2022-23,0.187,0.0057602345623885,0.11029092009896857,0.05916609055473242,TERMINAL SCORER,0.021999999999999992,1,0.30654208228947866,-0.008404736914017913
1629651,Nic Claxton,BKN 2024-25,0.166,0.0761356226573988,0.07479933398220862,0.05584386936947078,1641730,Noah Clowney,BKN 2024-25,0.185,0.0024120592438039,0.11630847691125779,0.04219280096927333,TERMINAL SCORER,0.01899999999999999,1,-0.04150914292904917,0.013651068400197447
1628379,Luke Kennard,MEM 2023-24,0.166,0.0149849157095967,0.06941515958707167,0.054700661123154415,1630692,Jordan Goodwin,MEM 2023-24,0.182,0.0045843478540131,0.19869915966200913,0.07699644339063426,TERMINAL SCORER,0.015999999999999986,1,-0.12928400007493746,-0.022295782267479844
203991,Clint Capela,ATL 2023-24,0.167,0.0398446073769163,0.10847676615231139,0.04072850547556392,1630552,Jalen Johnson,ATL 2023-24,0.184,0.0044534834781057,0.04504417703411756,0.05931051424828038,TERMINAL SCORER,0.016999999999999987,1,0.06343258911819383,-0.018582008772716457
1642276,Kel'el Ware,MIA 2024-25,0.169,0.2825741860927192,0.7392837832957347,0.04944059826782993,1629130,Duncan Robinson,MIA 2024-25,0.187,0.0065436763022413,0.05625254500547505,0.07130892736004622,TERMINAL SCORER,0.017999999999999988,1,0.6830312382902597,-0.021868329092216296
1630168,Onyeka Okongwu,ATL 2024-25,0.169,0.0238716876537238,0.14539465976472288,0.03637428048504018,1627747,Caris LeVert,ATL 2024-25,0.191,0.008272750441657,0.16744551506109862,0.0764132484544944,TERMINAL SCORER,0.021999999999999992,1,-0.022050855296375738,-0.04003896796945423
202722,Davis Bertans,CHA 2023-24,0.169,0.0140524780924479,0.09118610991064291,0.1006426755222049,1630544,Tre Mann,CHA 2023-24,0.183,0.0012337364197669,0.03534470456245287,0.03305557634130439,TERMINAL SCORER,0.013999999999999985,1,0.05584140534819004,0.06758709918090051
1630198,Isaiah Joe,OKC 2022-23,0.17,0.0336464325470807,0.3289043424160495,0.07137950045626748,1629652,Luguentz Dort,OKC 2022-23,0.194,0.0079788582986886,0.03257029893762875,0.04135118619582151,TERMINAL SCORER,0.023999999999999994,1,0.29633404347842074,0.03002831426044597
1630241,Sam Merrill,CLE 2023-24,0.17,0.0149465240292284,0.05528419091829784,0.08044901733231434,1630596,Evan Mobley,CLE 2023-24,0.2,0.0082936972131612,0.027072361288088875,0.06136248093543464,TERMINAL SCORER,0.03,1,0.028211829630208962,0.019086536396879697
1641708,Amen Thompson,HOU 2024-25,0.172,0.0493816837159525,0.21245324527619613,0.0319604802707821,1631106,Tari Eason,HOU 2024-25,0.185,0.0136447333417513,0.0680686214025773,0.03569188002679739,TERMINAL SCORER,0.013000000000000012,1,0.14438462387361883,-0.0037313997560152953
