t_id,t_name,t_ts,t_usage,t_L,t_DA,t_Dpi,c_id,c_name,c_ts,c_usage,c_L,c_DA,c_Dpi,c_role,du,same_ts,d_DA,d_Dpi
1629011,Mitchell Robinson,NYK 2022-23,0.101,0.0447261003765055,0.1443141079844883,0.05462826458892994,1628392,Isaiah Hartenstein,NYK 2022-23,0.107,0.002115324346037,0.3989180013200947,0.035831737404972114,ROLE OCCUPANT / SPECIALIST,0.0059999999999999915,1,-0.2546038933356064,0.01879652718395783
1626172,Kevon Looney,GSW 2022-23,0.104,0.1340584992271262,0.20160004964057565,0.033175894324426705,203110,Draymond Green,GSW 2022-23,0.129,0.0073675275108021,0.1204591276527418,0.05788248287545035,ROLE OCCUPANT / SPECIALIST,0.02500000000000001,1,0.08114092198783385,-0.024706588551023645
203486,Mason Plumlee,PHX 2024-25,0.105,0.0331028775488239,0.035756773649394225,0.03200595133905129,1642345,Oso Ighodaro,PHX 2024-25,0.103,0.0045060006538355,0.09027023568278669,0.049135950908674515,ROLE OCCUPANT / SPECIALIST,0.0020000000000000018,1,-0.05451346203339247,-0.017129999569623224
1631216,Caleb Houstan,ORL 2022-23,0.107,0.0201950984330292,0.2577352985878445,0.04299628310864766,203914,Gary Harris,ORL 2022-23,0.125,0.0095641372781234,0.19419629649730152,0.03297185396416282,ROLE OCCUPANT / SPECIALIST,0.018000000000000002,1,0.06353900209054297,0.010024429144484835
1628436,Luke Kornet,BOS 2023-24,0.107,0.0878452754763997,0.22933506157636196,0.06567020726309716,201143,Al Horford,BOS 2023-24,0.119,0.0061711970684836,0.1247365357888921,0.04539466168943676,ROLE OCCUPANT / SPECIALIST,0.011999999999999997,1,0.10459852578746986,0.020275545573660403
1628436,Luke Kornet,BOS 2024-25,0.111,0.0201940786143123,0.037450952077236255,0.05669925269377823,201143,Al Horford,BOS 2024-25,0.136,0.0063981260943635,0.13098174725847866,0.04119820439259942,ROLE OCCUPANT / SPECIALIST,0.02500000000000001,1,-0.09353079518124241,0.015501048301178807
1630231,KJ Martin,UTA 2024-25,0.112,0.0131002155662782,0.1802255894294874,0.03687882719843384,1642262,Cody Williams,UTA 2024-25,0.122,0.0035663404719694,0.021210912583688124,0.022623951645664775,ROLE OCCUPANT / SPECIALIST,0.009999999999999995,1,0.15901467684579929,0.014254875552769067
1629162,Jordan McLaughlin,MIN 2022-23,0.112,0.0331208773754656,0.1897981675269963,0.04378832692600865,203085,Austin Rivers,MIN 2022-23,0.104,0.0092700830958573,0.13551180326580514,0.02957521189787207,ROLE OCCUPANT / SPECIALIST,0.008000000000000007,1,0.054286364261191156,0.014213115028136578
1629057,Robert Williams III,BOS 2022-23,0.113,0.0159152369930698,0.12352388143138848,0.05667607589043488,201143,Al Horford,BOS 2022-23,0.119,0.0127659351344413,0.04171775205206296,0.04941766508776818,ROLE OCCUPANT / SPECIALIST,0.0059999999999999915,1,0.08180612937932552,0.007258410802666697
1628392,Isaiah Hartenstein,NYK 2023-24,0.116,0.0468282906051973,0.21114262553165097,0.04135703397641273,1628404,Josh Hart,NYK 2023-24,0.133,0.0032614277770532,0.07875427881989405,0.047410300267576026,ROLE OCCUPANT / SPECIALIST,0.017,1,0.13238834671175692,-0.0060532662911632965
