model,n,coef_HasHub_pts100,se_HasHub,t_HasHub,p_HasHub,ci_lo_ts_HasHub,ci_hi_ts_HasHub,ci_lo_franchise_HasHub,ci_hi_franchise_HasHub,coef_HasMargBig_pts100,se_HasMargBig,t_HasMargBig,p_HasMargBig,ci_lo_ts_HasMargBig,ci_hi_ts_HasMargBig,ci_lo_franchise_HasMargBig,ci_hi_franchise_HasMargBig,coef_HasMargWing_pts100,se_HasMargWing,t_HasMargWing,p_HasMargWing,ci_lo_ts_HasMargWing,ci_hi_ts_HasMargWing,ci_lo_franchise_HasMargWing,ci_hi_franchise_HasMargWing,coef_n_ORGANIZER_pts100,se_n_ORGANIZER,t_n_ORGANIZER,p_n_ORGANIZER,coef_n_TERMINAL_pts100,se_n_TERMINAL,t_n_TERMINAL,p_n_TERMINAL,coef_TALENT_pts100,se_TALENT,t_TALENT,p_TALENT
M1 PRIMARY: 3-way tier split -> PPP (TALENT-controlled),420993,1.1037198254859362,0.006246749531822989,1.7668706258562565,0.0772498973953204,-0.11978462965848923,2.31238718988072,-0.20428763704590114,2.329374885263463,1.704197346201717,0.007616722221773886,2.237441902935539,0.025257472431234662,0.08548926761715817,3.125768767129422,-0.2196746030953297,3.0242759509449417,1.2850372176162763,0.00830649034266452,1.5470278837452638,0.12185652202932373,-0.4215494239095988,2.983867713215222,-0.32415648525523494,3.0332382389526305,2.369522574426322,0.005260137394266804,4.504678104052838,6.647362684741864e-06,1.3643715772521627,0.0030361841327362768,4.493704984956103,6.999458038725592e-06,8.825385060488543,0.061174547697126054,1.4426563648958788,0.1491172969270762
NAIVE robustness: talent control REMOVED,420993,1.2433053545729642,0.006380998036696,1.9484496742091648,0.05136118098152487,-0.016375634189816385,2.4477101532133525,,,1.7554203720604573,0.007759801706934374,2.2621974611693556,0.023685206111121904,0.09978193712211353,3.191006444805722,,,1.3615067838910004,0.008290196885584428,1.6423093476326034,0.10052591087917317,-0.36275893684424065,3.049985141860532,,,2.4269841629535525,0.005406277760669713,4.489196209284121,7.149242428727831e-06,1.3709088214707241,0.0031159969767152076,4.399583284948806,1.0845894690580948e-05,,,,
M2 robustness: WITH play-type FE (within-play),420993,1.0315254924694313,0.0069251599154877075,1.4895331011237531,0.136347043565741,-0.33451689067382623,2.342106596283082,,,1.4936346151839932,0.007810185633857148,1.9124188402246016,0.055822493368197446,-0.16560049682189287,2.969695403798176,,,0.7505305344743273,0.008389786618883788,0.8945764279451733,0.37101355725820095,-0.9068230075260635,2.478155337226254,,,2.6002080258636955,0.005328586604084532,4.879733068184635,1.0622951918115575e-06,1.427024139059857,0.00306254839804514,4.65959702047727,3.16829036339783e-06,6.840643261671755,0.06410103890769454,1.0671657399378935,0.2858970001964476
M1 robustness: >=4/5 classified inclusion,581640,1.2286726363054472,0.005432858763643485,2.2615582141168193,0.02372471216980676,0.15688763316681312,2.3671805004288435,,,1.027240599096992,0.007616308082508842,1.3487382442631113,0.17742105683163834,-0.5440195521088296,2.5018255490569006,,,0.860076535631788,0.00580942791338257,1.4804840484387798,0.13874411463067737,-0.34483418209052114,2.0143641834849664,,,2.4362312803584976,0.0048158959138209405,5.0587291003670956,4.2205995676170005e-07,1.4380046219368876,0.002280611657753174,6.305346274313046,2.8755042791317464e-10,25.87231938169839,0.05909958872806493,4.3777494799066625,1.199110666494363e-05
