model,beta,pts_per_100,cluster_se,t,p,n,mde80_pts100,coef_COVERED_pts100,t_COVERED,coef_n_ORGANIZER_pts100,t_n_ORGANIZER,coef_n_SHAPER_pts100,t_n_SHAPER,coef_n_TERMINAL_pts100,t_n_TERMINAL,coef_TALENT_pts100,t_TALENT,ci_lo_ts,ci_hi_ts,ci_excl0_ts,ci_lo_franchise,ci_hi_franchise,ci_excl0_franchise
M1 PRIMARY: coverage->PPP (no play-type FE),0.00415784583143747,0.41578458314374706,0.007819405591606913,0.5317342581513309,0.5949100611872367,420993,2.1906729414362056,0.41578458314374706,0.5317342581513309,2.346166636009054,4.6224304836023435,1.0946219068084562,2.66650802654223,1.370841433167509,4.483862739681363,8.349406386702562,1.365947136240567,-0.011527501403770225,0.018993836902530863,False,-0.01445348606369404,0.021834702337550735,False
M2 robustness: WITH play-type FE (within-play),0.004413782120021801,0.44137821200218014,0.008316027490424564,0.5307560761558355,0.5955878214611463,420993,2.3298057876761105,0.44137821200218014,0.5307560761558355,2.5855306604925974,4.976265772259559,0.9556245411633045,2.338018227951755,1.4541597556666856,4.696479549005905,6.365980820890399,0.9898226830113025,-0.012888020624486228,0.020401551011165524,False,,,
NAIVE robustness: talent control REMOVED,0.004283913346935111,0.4283913346935111,0.00795111652108635,0.538781356753379,0.5900377290680463,420993,2.2275728778727704,0.4283913346935111,0.538781356753379,2.4065141416309097,4.653804546777946,1.191473581099343,2.950021837418759,1.3809998319310395,4.410990264603936,,,-0.011475833524744145,0.019394932862706632,False,,,
M1 robustness: >=4/5 classified inclusion,0.0026161422819139853,0.2616142281913985,0.007155125042272095,0.3656319444395391,0.7146397349995295,581640,2.0045690991553866,0.2616142281913985,0.3656319444395391,2.443920009721153,5.303143352691324,0.9694949565684315,2.637746855676662,1.4525554108724434,6.422355865826808,25.878643111216753,4.386915844064924,-0.01226510202838184,0.016663788418511977,False,,,
