player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable,origin_tri,stability,travel_score,fit_score,decoy_sim_wtd,decoy_sim_max,blocker_mpg,n_blocker_pool,crowding_score,travel_hi,fit_hi,quadrant
W. Moore Jr.,1631111,1631111_DET24_CHA24,0,G,Guard,DET,2024-25,CHA,2024-25,DET 2024-25 → CHA 2024-25,Transition initiator,Spot-up / off-ball,TRANSITION,SPOT_UP,57,70,0.008,0.01,0.007,0.004,-0.004,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.144,-0.496,0.64,YES,DET,0.21341251247017,0.07583123995097461,0.496,-0.2549882588328508,0.5519353841905041,34.2,10,0.2549882588328508,False,True,missed-need
R. Holmes,1626158,1626158_SAC22_WAS23,0,F/Wing,F,SAC,2022-23,WAS,2023-24,SAC 2022-23 → WAS 2023-24,PnR ball-handler / hub,Cutter / connector,PNR,CUT,77,77,0.01,0.01,0.002,0.004,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.777,0.147,0.63,YES,SAC,0.21341251247017,0.0660239469873477,-0.147,0.011608631615457943,0.6653582991918757,32.6,10,-0.011608631615457943,False,False,irrelevant
M. Strus,1629622,1629622_MIA22_CLE23,0,F/Wing,G-F,MIA,2022-23,CLE,2023-24,MIA 2022-23 → CLE 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,774,704,0.104,0.098,0.007,0.018,-0.019,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.79,0.16,0.63,YES,MIA,0.21341251247017,0.13888176553789078,-0.16,-0.0065530592398583935,0.8075169313697135,35.3,10,0.0065530592398583935,True,False,redundant
C. Metu,1629002,1629002_PHX23_DET23,0,F/C,Forward-Center,PHX,2023-24,DET,2023-24,PHX 2023-24 → DET 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,150,126,0.02,0.017,0.004,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.588,-0.026,0.615,YES,PHX,0.21341251247017,0.07824845285778648,0.026,0.28632262420801496,0.6523141544669975,30.9,10,-0.28632262420801496,False,True,missed-need
E. Gordon,201569,201569_PHX23_PHI24,0,G,G,PHX,2023-24,PHI,2024-25,PHX 2023-24 → PHI 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,631,221,0.084,0.03,0.015,0.01,-0.006,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.36,-0.248,0.607,YES,PHX,0.21341251247017,0.140525941064275,0.248,-0.16260239791829872,0.14773760517739865,34.6,10,0.16260239791829872,True,True,additive
D. Gafford,1629655,1629655_WAS23_DAL23,0,F,Forward,WAS,2023-24,DAL,2023-24,WAS 2023-24 → DAL 2023-24,Cutter / connector,Cutter / connector,CUT,CUT,282,184,0.036,0.025,0.335,0.007,0.323,-0.005,Hidden structural hub,Peripheral / replaceable wiring,0.865,0.263,0.602,YES,WAS,0.8639699393332627,0.3425151746628663,-0.263,0.27138551853785603,0.8097668759569855,35.0,10,-0.27138551853785603,True,False,redundant
F. VanVleet,1627832,1627832_TOR22_HOU23,0,G,G,TOR,2022-23,HOU,2023-24,TOR 2022-23 → HOU 2023-24,Pull-up scorer,Pull-up scorer,PULL_UP,PULL_UP,1159,1033,0.15,0.132,0.044,0.066,-0.002,0.028,Standard role occupant,Standard role occupant,0.445,-0.121,0.566,YES,TOR,0.21341251247017,0.22096940745239715,0.121,-0.13674957213824482,0.18495143020532104,31.9,10,0.13674957213824482,True,True,additive
J. Green,1629750,1629750_CHI23_NOP24,0,G,G,CHI,2023-24,NOP,2024-25,CHI 2023-24 → NOP 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,70,208,0.01,0.028,0.006,0.002,-0.005,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.294,-0.264,0.558,YES,CHI,-0.07745168524012738,0.03682750779310767,0.264,-0.1055694229062382,0.5185924743322312,35.0,10,0.1055694229062382,False,True,missed-need
D. DeRozan,201942,201942_CHI23_SAC24,0,F/Wing,G-F,CHI,2023-24,SAC,2024-25,CHI 2023-24 → SAC 2024-25,Post hub,Post hub,POST_UP,POST_UP,1495,1333,0.203,0.182,0.087,0.109,0.009,0.045,Standard role occupant,Primary grammar carrier,0.61,0.063,0.546,YES,CHI,0.9108875393560305,0.3926471959900282,-0.063,0.0683778687601887,0.5532484975824145,35.2,10,-0.0683778687601887,True,False,redundant
D. Eubanks,1629234,1629234_POR22_PHX23,0,F/C,F-C,POR,2022-23,PHX,2023-24,POR 2022-23 → PHX 2023-24,Post hub,Cutter / connector,POST_UP,CUT,356,269,0.047,0.036,0.068,0.072,0.054,0.06,Standard role occupant,Standard role occupant,0.732,0.192,0.54,YES,POR,0.21341251247017,0.17342426182981863,-0.192,0.21179885946933752,0.7853357992903921,37.2,10,-0.21179885946933752,True,False,redundant
M. Smart,203935,203935_MEM24_WAS24,0,G,Guard,MEM,2024-25,WAS,2024-25,MEM 2024-25 → WAS 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,164,118,0.021,0.016,0.007,0.027,-0.004,0.016,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.949,0.411,0.538,YES,MEM,-0.9124571840927705,-0.14439570829161996,-0.411,-0.2597540862738179,0.25096716838955646,33.0,10,0.2597540862738179,False,False,irrelevant
G. Mathews,1629726,1629726_HOU22_ATL23,0,G,Guard,HOU,2022-23,ATL,2023-24,HOU 2022-23 → ATL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,167,223,0.022,0.029,0.015,0.002,0.003,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.215,-0.323,0.538,YES,HOU,0.21341251247017,0.09619304830523524,0.323,-0.33293651135230584,-0.054868292099328184,35.7,10,0.33293651135230584,False,True,missed-need
J. Cain,1631288,1631288_MIA23_NOP24,0,F/Wing,F,MIA,2023-24,NOP,2024-25,MIA 2023-24 → NOP 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,76,162,0.01,0.022,0.001,0.002,-0.01,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.666,0.129,0.537,YES,MIA,0.5003036800035557,0.09818458386765594,-0.129,0.1885149558985335,0.572470581160719,35.0,10,-0.1885149558985335,False,False,irrelevant
S. Mamukelashvili,1630572,1630572_MIL22_SAS22,0,F/C,Forward-Center,MIL,2022-23,SAS,2022-23,MIL 2022-23 → SAS 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,60,163,0.008,0.021,0.031,0.005,0.02,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.454,-0.078,0.533,YES,MIL,0.21341251247017,0.10372128244247913,0.078,0.025130997637267307,0.6125740447757848,32.8,10,-0.025130997637267307,True,True,additive
B. Fernando,1628981,1628981_HOU22_ATL23,0,F/C,Forward-Center,HOU,2022-23,ATL,2023-24,HOU 2022-23 → ATL 2023-24,Cutter / connector,PnR ball-handler / hub,CUT,PNR,92,194,0.012,0.025,0.009,0.005,-0.002,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.328,-0.203,0.532,YES,HOU,0.21341251247017,0.0801189052889818,0.203,-0.09898634012278582,0.49641847642964376,36.0,10,0.09898634012278582,False,True,missed-need
S. Dinwiddie,203915,203915_DAL22_BKN22,0,G,Guard,DAL,2022-23,BKN,2022-23,DAL 2022-23 → BKN 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,720,394,0.097,0.053,0.018,0.008,-0.006,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.572,0.042,0.531,YES,DAL,0.452216306994518,0.18147908735089102,-0.042,-0.014308093023378718,0.4939507731048721,35.7,10,0.014308093023378718,True,True,additive
