player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable,origin_tri,stability,travel_score,fit_score,decoy_sim_wtd,decoy_sim_max,blocker_mpg,n_blocker_pool,crowding_score,travel_hi,fit_hi,quadrant
J. Butler,1630215,1630215_WAS24_PHI24,0,C,Center,WAS,2024-25,PHI,2024-25,WAS 2024-25 → PHI 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,189,269,0.026,0.037,0.018,0.001,0.006,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.78,0.405,0.375,YES,WAS,-0.2526083872963772,0.031077112256537198,-0.405,-0.017310591275518556,0.04921807250854889,37.7,10,0.017310591275518556,False,False,irrelevant
J. Wiseman,1630164,1630164_GSW22_DET22,0,C,Center,GSW,2022-23,DET,2022-23,GSW 2022-23 → DET 2022-23,PnR ball-handler / hub,Post hub,PNR,POST_UP,103,241,0.013,0.032,0.026,0.007,0.015,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.756,0.389,0.367,YES,GSW,0.21341251247017,0.09908924920097972,-0.389,0.4628153290564146,0.7472905359210071,33.3,10,-0.4628153290564146,False,False,irrelevant
K. Porter Jr.,1629645,1629645_LAC24_MIL24,0,F,Guard-Forward,LAC,2024-25,MIL,2024-25,LAC 2024-25 → MIL 2024-25,PnR ball-handler / hub,Driving creator,PNR,DRIVE,436,279,0.062,0.037,0.004,0.004,-0.012,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.267,-0.091,0.358,YES,LAC,0.21341251247017,0.11101140501614218,0.091,-0.13196821530539163,0.1343165901279046,36.1,10,0.13196821530539163,True,True,additive
J. Green,1629750,1629750_NOP24_CLE24,0,F/C,Forward-Center,NOP,2024-25,CLE,2024-25,NOP 2024-25 → CLE 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,208,54,0.028,0.007,0.002,0.004,-0.009,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.089,-0.267,0.356,YES,NOP,0.21341251247017,0.08439873178721843,0.267,-0.194380070003277,0.19831724260922023,30.5,10,0.194380070003277,False,True,missed-need
M. Beasley,1627736,1627736_MIL23_DET24,0,G,G,MIL,2023-24,DET,2024-25,MIL 2023-24 → DET 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,692,1042,0.089,0.142,0.013,0.03,-0.008,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.457,0.106,0.352,YES,MIL,0.21341251247017,0.14068571916340655,-0.106,-0.11095774916103072,0.34239534828757223,31.6,10,0.11095774916103072,True,False,redundant
J. Poeltl,1627751,1627751_SAS22_TOR22,0,C,Center,SAS,2022-23,TOR,2022-23,SAS 2022-23 → TOR 2022-23,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,388,218,0.049,0.028,0.12,0.011,0.106,-0.0,Hidden structural hub,Peripheral / replaceable wiring,0.501,0.15,0.351,YES,SAS,0.21341251247017,0.23667171460646974,-0.15,0.28731432831951975,0.6063300742089622,37.4,10,-0.28731432831951975,True,False,redundant
D. Roddy,1631223,1631223_MEM23_ATL24,0,F,Forward,MEM,2023-24,ATL,2024-25,MEM 2023-24 → ATL 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,390,107,0.052,0.014,0.005,0.003,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.54,0.19,0.349,YES,MEM,-0.10683338059998704,0.060281546253702634,-0.19,0.18353015157147298,0.44612641676495396,24.9,10,-0.18353015157147298,False,False,irrelevant
J. McDaniels,1629667,1629667_CHA22_PHI22,0,F,Forward,CHA,2022-23,PHI,2022-23,CHA 2022-23 → PHI 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,543,119,0.07,0.016,0.01,0.005,-0.007,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.351,0.003,0.348,YES,CHA,0.21341251247017,0.12422299645572765,-0.003,0.31908860012993884,0.7011579275393099,33.6,10,-0.31908860012993884,True,True,additive
R. Hachimura,1629060,1629060_WAS22_LAL22,0,F,Forward,WAS,2022-23,LAL,2022-23,WAS 2022-23 → LAL 2022-23,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,335,260,0.044,0.033,0.001,0.005,-0.012,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.621,0.274,0.348,YES,WAS,0.21341251247017,0.0925356892465311,-0.274,0.2639934103247297,0.5243842438982347,35.5,10,-0.2639934103247297,False,False,irrelevant
J. Valančiūnas,202685,202685_NOP23_WAS24,0,C,C,NOP,2023-24,WAS,2024-25,NOP 2023-24 → WAS 2024-25,Post hub,Post hub,POST_UP,POST_UP,680,380,0.089,0.052,0.035,0.131,0.014,0.117,Peripheral / replaceable wiring,Hidden structural hub,0.304,-0.043,0.346,YES,NOP,0.769261457407685,0.24034246723865815,0.043,0.08047813325475268,0.6334025272763028,30.0,10,-0.08047813325475268,True,True,additive
D. Finney-Smith,1627827,1627827_BKN24_LAL24,0,F,Forward,BKN,2024-25,LAL,2024-25,BKN 2024-25 → LAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,158,262,0.022,0.036,0.003,0.006,-0.008,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.584,0.239,0.344,YES,BKN,0.8557592640842046,0.14788065325999267,-0.239,0.06252710247552037,0.6346841914718097,34.9,10,-0.06252710247552037,True,False,redundant
L. Dončić,1629029,1629029_DAL24_LAL24,0,F,Forward-Guard,DAL,2024-25,LAL,2024-25,DAL 2024-25 → LAL 2024-25,Pull-up scorer,Post hub,PULL_UP,POST_UP,469,509,0.065,0.071,0.023,0.01,0.007,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.486,0.143,0.343,YES,DAL,0.5754361845325783,0.18101486194371813,-0.143,0.12117461325193035,0.5837850123262364,34.9,10,-0.12117461325193035,True,False,redundant
R. Westbrook,201566,201566_LAC23_DEN24,0,G,G,LAC,2023-24,DEN,2024-25,LAC 2023-24 → DEN 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,677,824,0.094,0.109,0.005,0.017,-0.018,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.381,0.041,0.34,YES,LAC,0.3077530616662472,0.14607297568882222,-0.041,0.08701092692003097,0.36513494193386237,36.7,10,-0.08701092692003097,True,True,additive
Z. Williams,1630533,1630533_MEM23_BKN24,0,F/Wing,F,MEM,2023-24,BKN,2024-25,MEM 2023-24 → BKN 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,364,468,0.048,0.066,0.003,0.014,-0.01,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.219,-0.117,0.336,YES,MEM,0.23808330065869787,0.1028921514653826,0.117,-0.2051932209429832,0.07878158768374263,31.6,10,0.2051932209429832,True,True,additive
D. Daniels,1630700,1630700_NOP23_ATL24,0,G,G,NOP,2023-24,ATL,2024-25,NOP 2023-24 → ATL 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,336,943,0.044,0.123,0.002,0.007,-0.011,-0.027,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.112,-0.213,0.325,YES,NOP,-0.3983867032376217,0.015979423054793968,0.213,-0.04037971317178544,0.38988578365951104,35.7,10,0.04037971317178544,False,True,missed-need
J. Smith,1630188,1630188_IND23_CHI24,0,F/C,F-C,IND,2023-24,CHI,2024-25,IND 2023-24 → CHI 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,353,389,0.045,0.051,0.011,0.015,-0.002,0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.384,0.068,0.317,YES,IND,0.05448707290840145,0.08673424006482466,-0.068,-0.07726650099717687,0.3763573553374522,31.2,10,0.07726650099717687,False,False,irrelevant
A. Caruso,1627936,1627936_CHI23_OKC24,0,G,G,CHI,2023-24,OKC,2024-25,CHI 2023-24 → OKC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,552,289,0.075,0.039,0.015,0.003,-0.003,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.411,0.098,0.314,YES,CHI,0.1630947337010244,0.12747327216480564,-0.098,0.14771527222872086,0.4522881428703419,32.4,10,-0.14771527222872086,True,False,redundant
N. Richards,1630208,1630208_CHA24_PHX24,0,C,Center,CHA,2024-25,PHX,2024-25,CHA 2024-25 → PHX 2024-25,Cutter / connector,Cutter / connector,CUT,CUT,125,218,0.017,0.031,0.001,0.013,-0.01,0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.042,-0.268,0.31,YES,CHA,0.08338112294560429,0.05878109452247843,0.268,0.35778726338727745,0.731386105597865,37.3,10,-0.35778726338727745,False,True,missed-need
K. Anderson,203937,203937_MIN23_GSW24,0,F/Wing,F-G,MIN,2023-24,GSW,2024-25,MIN 2023-24 → GSW 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,508,161,0.068,0.022,0.011,0.006,-0.006,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.089,-0.398,0.309,YES,MIN,0.7856988236296768,0.20432774812724588,0.398,-0.16909039543172713,0.22319693271393531,32.2,10,0.16909039543172713,True,True,additive
T. Mann,1630544,1630544_OKC22_CHA23,0,G,G,OKC,2022-23,CHA,2023-24,OKC 2022-23 → CHA 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,502,290,0.064,0.039,0.016,0.001,-0.0,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.331,0.023,0.308,YES,OKC,0.21341251247017,0.12784976734334885,-0.023,-0.02603504517374733,0.3100929155516885,37.4,10,0.02603504517374733,True,True,additive
T. Craig,1628470,1628470_PHX22_CHI23,0,F/Wing,F,PHX,2022-23,CHI,2023-24,PHX 2022-23 → CHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,420,246,0.055,0.033,0.022,0.008,0.008,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.46,0.153,0.307,YES,PHX,0.21341251247017,0.1285992619985556,-0.153,0.043288917566207286,0.5574949006515557,36.5,10,-0.043288917566207286,True,False,redundant
J. Hart,1628404,1628404_POR22_NYK22,0,G,Guard,POR,2022-23,NYK,2022-23,POR 2022-23 → NYK 2022-23,Transition initiator,Transition initiator,TRANSITION,TRANSITION,431,189,0.057,0.025,0.015,0.006,0.001,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.325,0.022,0.303,YES,POR,0.21341251247017,0.12154109014424574,-0.022,0.05926402569319033,0.40259159536113803,35.5,10,-0.05926402569319033,True,True,additive
K. Huerter,1628989,1628989_SAC24_CHI24,0,F,Guard-Forward,SAC,2024-25,CHI,2024-25,SAC 2024-25 → CHI 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,292,281,0.04,0.037,0.004,0.003,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.114,-0.189,0.302,YES,SAC,0.19564993592720833,0.09338061348976057,0.189,0.13519385200233186,0.46898311448960806,33.1,10,-0.13519385200233186,False,True,missed-need
T. Bryant,1628418,1628418_MIA23_IND24,0,F/C,C-F,MIA,2023-24,IND,2024-25,MIA 2023-24 → IND 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,144,242,0.019,0.033,0.004,0.015,-0.007,0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.347,0.046,0.301,YES,MIA,0.21341251247017,0.0788822241793507,-0.046,0.013519892797676143,0.45473534246473535,33.6,10,-0.013519892797676143,False,True,missed-need
C. Martin,1628998,1628998_CHA24_PHX24,0,F,Forward,CHA,2024-25,PHX,2024-25,CHA 2024-25 → PHX 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,276,60,0.039,0.008,0.001,0.008,-0.011,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.828,0.536,0.292,YES,CHA,0.7551721858591519,0.14335243689489563,-0.536,0.41090143659292194,0.6740091221149888,36.5,10,-0.41090143659292194,True,False,redundant
M. Plumlee,203486,203486_CHA22_LAC22,0,G,Guard,CHA,2022-23,LAC,2022-23,CHA 2022-23 → LAC 2022-23,PnR ball-handler / hub,Cutter / connector,PNR,CUT,442,98,0.057,0.013,0.012,0.005,-0.003,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.562,0.274,0.288,YES,CHA,0.21341251247017,0.1168098320596247,-0.274,0.26231666225964934,0.6444826288815191,34.6,10,-0.26231666225964934,True,False,redundant
B. Boston,1630527,1630527_LAC23_NOP24,0,G,G,LAC,2023-24,NOP,2024-25,LAC 2023-24 → NOP 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,159,383,0.022,0.052,0.004,0.006,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.226,-0.056,0.282,YES,LAC,-0.05299109702458432,0.047316181195389106,0.056,-0.5761574614511921,0.22577048413406944,35.0,10,0.5761574614511921,False,True,missed-need
D. Wright,1626153,1626153_MIA23_MIL24,0,G,G,MIA,2023-24,MIL,2024-25,MIA 2023-24 → MIL 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,66,84,0.009,0.011,0.002,0.003,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.139,-0.139,0.279,YES,MIA,0.21341251247017,0.07010018419556463,0.139,-0.21350992679923556,0.4059416835369155,36.1,10,0.21350992679923556,False,True,missed-need
D. Russell,1626156,1626156_MIN22_LAL22,0,G,Guard,MIN,2022-23,LAL,2022-23,MIN 2022-23 → LAL 2022-23,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,776,234,0.1,0.03,0.02,0.001,-0.005,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.525,0.262,0.264,YES,MIN,0.21341251247017,0.15657481156627878,-0.262,0.3046114156979606,0.7591220522336619,35.5,10,-0.3046114156979606,True,False,redundant
B. Biyombo,202687,202687_MEM23_SAS24,0,C,Center,MEM,2023-24,SAS,2024-25,MEM 2023-24 → SAS 2024-25,Post hub,Post hub,POST_UP,POST_UP,122,104,0.016,0.014,0.027,0.035,0.016,0.024,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.619,0.356,0.262,YES,MEM,0.21341251247017,0.1039410873820934,-0.356,0.1834638588387562,0.5599484153289621,36.1,10,-0.1834638588387562,True,False,redundant
M. Smart,203935,203935_BOS22_MEM23,0,G,G,BOS,2022-23,MEM,2023-24,BOS 2022-23 → MEM 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,659,249,0.085,0.033,0.001,0.003,-0.02,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.309,0.052,0.257,YES,BOS,0.21341251247017,0.12309148825033969,-0.052,0.030195660602768692,0.3840988468811394,27.6,10,-0.030195660602768692,True,False,redundant
M. Flynn,1630201,1630201_TOR23_DET23,0,G,Guard,TOR,2023-24,DET,2023-24,TOR 2023-24 → DET 2023-24,Spot-up / off-ball,Pull-up scorer,SPOT_UP,PULL_UP,133,167,0.018,0.022,0.006,0.001,-0.005,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.76,0.504,0.256,YES,TOR,0.5719569675456122,0.11774936545902726,-0.504,0.3827152208608758,0.7540690318064645,28.8,10,-0.3827152208608758,True,False,redundant
E. Omoruyi,1630647,1630647_OKC22_DET22,0,F,Forward,OKC,2022-23,DET,2022-23,OKC 2022-23 → DET 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,89,144,0.011,0.019,0.022,0.007,0.011,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.312,0.067,0.245,YES,OKC,0.21341251247017,0.09615747012493689,-0.067,-0.010706412804339429,0.2455944242518913,31.1,10,0.010706412804339429,False,False,irrelevant
B. Hield,1627741,1627741_IND23_PHI23,0,G,Guard,IND,2023-24,PHI,2023-24,IND 2023-24 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,500,324,0.064,0.043,0.007,0.004,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.724,0.487,0.237,YES,IND,0.7391513992176676,0.17234058518089557,-0.487,0.27116350582713444,0.6094362605446617,33.8,10,-0.27116350582713444,True,False,redundant
T. Horton-Tucker,1629659,1629659_UTA23_CHI24,0,G,G,UTA,2023-24,CHI,2024-25,UTA 2023-24 → CHI 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,479,314,0.062,0.041,0.019,0.005,0.004,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.296,0.062,0.234,YES,UTA,0.9213372130623605,0.2182287903263351,-0.062,0.030938259072528958,0.5780422387116563,33.1,10,-0.030938259072528958,True,False,redundant
C. Martin,1628997,1628997_PHI24_DAL24,0,F,Forward,PHI,2024-25,DAL,2024-25,PHI 2024-25 → DAL 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,256,81,0.035,0.011,0.002,0.006,-0.01,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.019,-0.248,0.229,YES,PHI,0.21341251247017,0.08998575331176795,0.248,-0.025453396191930995,0.6799031726750362,36.1,10,0.025453396191930995,False,True,missed-need
M. Conley,201144,201144_UTA22_MIN22,0,G,Guard,UTA,2022-23,MIN,2022-23,UTA 2022-23 → MIN 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,410,255,0.053,0.033,0.003,0.033,-0.011,0.021,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.075,-0.153,0.228,YES,UTA,0.21341251247017,0.10397563926726199,0.153,-0.05521183518945693,0.26707328492215654,36.0,10,0.05521183518945693,True,True,additive
C. Metu,1629002,1629002_SAC22_PHX23,0,F/C,F-C,SAC,2022-23,PHX,2023-24,SAC 2022-23 → PHX 2023-24,Cutter / connector,PnR ball-handler / hub,CUT,PNR,224,150,0.028,0.02,0.054,0.004,0.043,-0.008,Standard role occupant,Peripheral / replaceable wiring,0.442,0.218,0.224,YES,SAC,0.21341251247017,0.14750478959716085,-0.218,0.19637091244021387,0.7506121107208004,37.2,10,-0.19637091244021387,True,False,redundant
K. Kuzma,1628398,1628398_WAS24_MIL24,0,F,Forward,WAS,2024-25,MIL,2024-25,WAS 2024-25 → MIL 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,485,440,0.066,0.059,0.024,0.003,0.007,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.103,-0.326,0.223,YES,WAS,-0.08833022567037381,0.104527482003428,0.326,0.2418650719049683,0.7494432036325811,36.1,10,-0.2418650719049683,True,True,additive
G. Williams,1629684,1629684_BOS22_DAL23,0,F/Wing,F,BOS,2022-23,DAL,2023-24,BOS 2022-23 → DAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,493,299,0.063,0.04,0.002,0.005,-0.014,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.111,-0.111,0.223,YES,BOS,0.21341251247017,0.10982245422709777,0.111,-0.0675467691014035,0.5768911396633277,30.4,10,0.0675467691014035,True,True,additive
D. Theis,1628464,1628464_LAC23_NOP24,0,F/C,F-C,LAC,2023-24,NOP,2024-25,LAC 2023-24 → NOP 2024-25,Cutter / connector,PnR ball-handler / hub,CUT,PNR,249,128,0.034,0.017,0.005,0.001,-0.007,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.434,0.213,0.222,YES,LAC,0.21341251247017,0.0911861102646751,-0.213,0.2162118607682445,0.44516088756527294,35.0,10,-0.2162118607682445,False,False,irrelevant
J. Green,1630182,1630182_DAL23_CHA24,0,G,G,DAL,2023-24,CHA,2024-25,DAL 2023-24 → CHA 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,410,428,0.055,0.06,0.006,0.006,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.597,0.378,0.218,YES,DAL,0.8214584960961642,0.17502827680001237,-0.378,0.5129330996080567,0.8352942497391875,34.2,10,-0.5129330996080567,True,False,redundant
J. Richardson,1626196,1626196_NOP22_MIA23,0,G,G,NOP,2022-23,MIA,2023-24,NOP 2022-23 → MIA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,143,350,0.019,0.047,0.005,0.004,-0.006,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.186,-0.402,0.216,YES,NOP,0.21341251247017,0.08334377304787904,0.402,-0.43666249734321494,0.5195995778859489,33.4,10,0.43666249734321494,False,True,missed-need
N. Marshall,1630230,1630230_NOP23_DAL24,0,F/Wing,F,NOP,2023-24,DAL,2024-25,NOP 2023-24 → DAL 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,397,734,0.052,0.101,0.002,0.005,-0.012,-0.021,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.091,-0.121,0.213,YES,NOP,0.21341251247017,0.10188757290099211,0.121,-0.0518940160020695,0.07567442791258511,36.1,10,0.0518940160020695,False,True,missed-need
S. Fontecchio,1631323,1631323_UTA23_DET23,0,F,Forward,UTA,2023-24,DET,2023-24,UTA 2023-24 → DET 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,357,193,0.047,0.025,0.003,0.001,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.741,0.531,0.21,YES,UTA,-0.02278364457389645,0.06474842321551888,-0.531,0.004509851199925523,0.518910900665145,30.9,10,-0.004509851199925523,False,False,irrelevant
H. Barnes,203084,203084_SAC23_SAS24,0,F/Wing,F,SAC,2023-24,SAS,2024-25,SAC 2023-24 → SAS 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,773,682,0.101,0.093,0.006,0.003,-0.02,-0.02,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.265,0.058,0.208,YES,SAC,0.08332291867553906,0.12436859515611742,-0.058,0.22974733914933748,0.5343784084336267,36.1,10,-0.22974733914933748,True,False,redundant
K. Olynyk,203482,203482_UTA23_TOR23,0,F/C,Forward-Center,UTA,2023-24,TOR,2023-24,UTA 2023-24 → TOR 2023-24,Driving creator,PnR ball-handler / hub,DRIVE,PNR,292,266,0.038,0.035,0.003,0.004,-0.01,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.269,0.088,0.18,YES,UTA,-0.3825343331299652,0.01103135705685998,-0.088,0.10997691814593043,0.5396578117957205,34.9,10,-0.10997691814593043,False,False,irrelevant
D. Ayton,1629028,1629028_PHX22_POR23,0,C,C,PHX,2022-23,POR,2023-24,PHX 2022-23 → POR 2023-24,Post hub,Post hub,POST_UP,POST_UP,872,656,0.114,0.09,0.036,0.327,0.006,0.305,Peripheral / replaceable wiring,Hidden structural hub,0.344,0.164,0.18,YES,PHX,0.21341251247017,0.18861545732939952,-0.164,0.05319943904610589,0.483365573273958,34.4,10,-0.05319943904610589,True,False,redundant
D. DiVincenzo,1628978,1628978_GSW22_NYK23,0,G,G,GSW,2022-23,NYK,2023-24,GSW 2022-23 → NYK 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,547,959,0.071,0.131,0.011,0.026,-0.006,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.298,0.119,0.179,YES,GSW,0.21341251247017,0.12647891667487998,-0.119,0.15189759362129476,0.5231828818251684,35.4,10,-0.15189759362129476,True,False,redundant
K. Oubre Jr.,1626162,1626162_CHA22_PHI23,0,F/Wing,F-G,CHA,2022-23,PHI,2023-24,CHA 2022-23 → PHI 2023-24,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,895,923,0.115,0.123,0.003,0.011,-0.028,-0.023,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.239,0.061,0.178,YES,CHA,0.21341251247017,0.14749918188515382,-0.061,0.08930956441571238,0.2987125571669438,37.5,10,-0.08930956441571238,True,False,redundant
L. Walker IV,1629022,1629022_LAL22_BKN23,0,F/Wing,G-F,LAL,2022-23,BKN,2023-24,LAL 2022-23 → BKN 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,567,494,0.072,0.065,0.003,0.002,-0.015,-0.015,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.479,0.303,0.176,YES,LAL,0.21341251247017,0.1157065870534088,-0.303,0.3513976852316314,0.6232895746580621,34.8,10,-0.3513976852316314,True,False,redundant
E. Gordon,201569,201569_HOU22_LAC22,0,G,Guard,HOU,2022-23,LAC,2022-23,HOU 2022-23 → LAC 2022-23,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,552,198,0.072,0.026,0.01,0.001,-0.008,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.33,0.156,0.174,YES,HOU,0.21341251247017,0.12573302934529357,-0.156,0.13822729453007657,0.6474692032171914,34.6,10,-0.13822729453007657,True,False,redundant
P. Siakam,1627783,1627783_TOR23_IND23,0,F,Forward,TOR,2023-24,IND,2023-24,TOR 2023-24 → IND 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,688,642,0.091,0.082,0.019,0.019,-0.003,-0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.261,0.088,0.173,YES,TOR,0.05182687873940156,0.13031351738772332,-0.088,0.11984262025537214,0.3285356363413151,32.2,10,-0.11984262025537214,True,False,redundant
C. Paul,101108,101108_PHX22_GSW23,0,G,G,PHX,2022-23,GSW,2023-24,PHX 2022-23 → GSW 2023-24,Pull-up scorer,Pull-up scorer,PULL_UP,PULL_UP,697,426,0.091,0.056,0.036,0.03,0.013,0.016,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.204,0.034,0.17,YES,PHX,0.21341251247017,0.17378119106944384,-0.034,-0.03968822590077031,0.5084599522328406,32.7,10,0.03968822590077031,True,True,additive
D. Jones Jr.,1627884,1627884_CHI22_DAL23,0,F/Wing,F,CHI,2022-23,DAL,2023-24,CHI 2022-23 → DAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,231,504,0.03,0.067,0.025,0.014,0.013,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.213,0.045,0.167,YES,CHI,0.21341251247017,0.11503234813252734,-0.045,0.015474010384739405,0.6428908766703989,30.4,10,-0.015474010384739405,True,True,additive
B. Hyland,1630538,1630538_DEN22_LAC22,0,G,Guard,DEN,2022-23,LAC,2022-23,DEN 2022-23 → LAC 2022-23,Pull-up scorer,Spot-up / off-ball,PULL_UP,SPOT_UP,442,129,0.059,0.017,0.029,0.002,0.014,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.14,-0.025,0.165,YES,DEN,0.21341251247017,0.14178293765332933,0.025,-0.04691868764580821,0.15582260708942888,34.6,10,0.04691868764580821,True,True,additive
