player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable
D. Wright,1626153,1626153_MIA23_MIL24,0,G,G,MIA,2023-24,MIL,2024-25,MIA 2023-24 → MIL 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,66,84,0.009,0.011,0.002,0.003,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.139,-0.139,0.279,YES
D. Russell,1626156,1626156_MIN22_LAL22,0,G,Guard,MIN,2022-23,LAL,2022-23,MIN 2022-23 → LAL 2022-23,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,776,234,0.1,0.03,0.02,0.001,-0.005,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.525,0.262,0.264,YES
B. Biyombo,202687,202687_MEM23_SAS24,0,C,Center,MEM,2023-24,SAS,2024-25,MEM 2023-24 → SAS 2024-25,Post hub,Post hub,POST_UP,POST_UP,122,104,0.016,0.014,0.027,0.035,0.016,0.024,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.619,0.356,0.262,YES
M. Smart,203935,203935_BOS22_MEM23,0,G,G,BOS,2022-23,MEM,2023-24,BOS 2022-23 → MEM 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,659,249,0.085,0.033,0.001,0.003,-0.02,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.309,0.052,0.257,YES
M. Flynn,1630201,1630201_TOR23_DET23,0,G,Guard,TOR,2023-24,DET,2023-24,TOR 2023-24 → DET 2023-24,Spot-up / off-ball,Pull-up scorer,SPOT_UP,PULL_UP,133,167,0.018,0.022,0.006,0.001,-0.005,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.76,0.504,0.256,YES
E. Omoruyi,1630647,1630647_OKC22_DET22,0,F,Forward,OKC,2022-23,DET,2022-23,OKC 2022-23 → DET 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,89,144,0.011,0.019,0.022,0.007,0.011,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.312,0.067,0.245,YES
B. Hield,1627741,1627741_IND23_PHI23,0,G,Guard,IND,2023-24,PHI,2023-24,IND 2023-24 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,500,324,0.064,0.043,0.007,0.004,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.724,0.487,0.237,YES
T. Horton-Tucker,1629659,1629659_UTA23_CHI24,0,G,G,UTA,2023-24,CHI,2024-25,UTA 2023-24 → CHI 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,479,314,0.062,0.041,0.019,0.005,0.004,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.296,0.062,0.234,YES
C. Martin,1628997,1628997_PHI24_DAL24,0,F,Forward,PHI,2024-25,DAL,2024-25,PHI 2024-25 → DAL 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,256,81,0.035,0.011,0.002,0.006,-0.01,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.019,-0.248,0.229,YES
M. Conley,201144,201144_UTA22_MIN22,0,G,Guard,UTA,2022-23,MIN,2022-23,UTA 2022-23 → MIN 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,410,255,0.053,0.033,0.003,0.033,-0.011,0.021,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.075,-0.153,0.228,YES
C. Metu,1629002,1629002_SAC22_PHX23,0,F/C,F-C,SAC,2022-23,PHX,2023-24,SAC 2022-23 → PHX 2023-24,Cutter / connector,PnR ball-handler / hub,CUT,PNR,224,150,0.028,0.02,0.054,0.004,0.043,-0.008,Standard role occupant,Peripheral / replaceable wiring,0.442,0.218,0.224,YES
K. Kuzma,1628398,1628398_WAS24_MIL24,0,F,Forward,WAS,2024-25,MIL,2024-25,WAS 2024-25 → MIL 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,485,440,0.066,0.059,0.024,0.003,0.007,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.103,-0.326,0.223,YES
G. Williams,1629684,1629684_BOS22_DAL23,0,F/Wing,F,BOS,2022-23,DAL,2023-24,BOS 2022-23 → DAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,493,299,0.063,0.04,0.002,0.005,-0.014,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.111,-0.111,0.223,YES
D. Theis,1628464,1628464_LAC23_NOP24,0,F/C,F-C,LAC,2023-24,NOP,2024-25,LAC 2023-24 → NOP 2024-25,Cutter / connector,PnR ball-handler / hub,CUT,PNR,249,128,0.034,0.017,0.005,0.001,-0.007,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.434,0.213,0.222,YES
J. Green,1630182,1630182_DAL23_CHA24,0,G,G,DAL,2023-24,CHA,2024-25,DAL 2023-24 → CHA 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,410,428,0.055,0.06,0.006,0.006,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.597,0.378,0.218,YES
J. Richardson,1626196,1626196_NOP22_MIA23,0,G,G,NOP,2022-23,MIA,2023-24,NOP 2022-23 → MIA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,143,350,0.019,0.047,0.005,0.004,-0.006,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.186,-0.402,0.216,YES
N. Marshall,1630230,1630230_NOP23_DAL24,0,F/Wing,F,NOP,2023-24,DAL,2024-25,NOP 2023-24 → DAL 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,397,734,0.052,0.101,0.002,0.005,-0.012,-0.021,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.091,-0.121,0.213,YES
S. Fontecchio,1631323,1631323_UTA23_DET23,0,F,Forward,UTA,2023-24,DET,2023-24,UTA 2023-24 → DET 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,357,193,0.047,0.025,0.003,0.001,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.741,0.531,0.21,YES
H. Barnes,203084,203084_SAC23_SAS24,0,F/Wing,F,SAC,2023-24,SAS,2024-25,SAC 2023-24 → SAS 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,773,682,0.101,0.093,0.006,0.003,-0.02,-0.02,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.265,0.058,0.208,YES
K. Olynyk,203482,203482_UTA23_TOR23,0,F/C,Forward-Center,UTA,2023-24,TOR,2023-24,UTA 2023-24 → TOR 2023-24,Driving creator,PnR ball-handler / hub,DRIVE,PNR,292,266,0.038,0.035,0.003,0.004,-0.01,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.269,0.088,0.18,YES
D. Ayton,1629028,1629028_PHX22_POR23,0,C,C,PHX,2022-23,POR,2023-24,PHX 2022-23 → POR 2023-24,Post hub,Post hub,POST_UP,POST_UP,872,656,0.114,0.09,0.036,0.327,0.006,0.305,Peripheral / replaceable wiring,Hidden structural hub,0.344,0.164,0.18,YES
D. DiVincenzo,1628978,1628978_GSW22_NYK23,0,G,G,GSW,2022-23,NYK,2023-24,GSW 2022-23 → NYK 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,547,959,0.071,0.131,0.011,0.026,-0.006,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.298,0.119,0.179,YES
K. Oubre Jr.,1626162,1626162_CHA22_PHI23,0,F/Wing,F-G,CHA,2022-23,PHI,2023-24,CHA 2022-23 → PHI 2023-24,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,895,923,0.115,0.123,0.003,0.011,-0.028,-0.023,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.239,0.061,0.178,YES
L. Walker IV,1629022,1629022_LAL22_BKN23,0,F/Wing,G-F,LAL,2022-23,BKN,2023-24,LAL 2022-23 → BKN 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,567,494,0.072,0.065,0.003,0.002,-0.015,-0.015,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.479,0.303,0.176,YES
E. Gordon,201569,201569_HOU22_LAC22,0,G,Guard,HOU,2022-23,LAC,2022-23,HOU 2022-23 → LAC 2022-23,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,552,198,0.072,0.026,0.01,0.001,-0.008,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.33,0.156,0.174,YES
P. Siakam,1627783,1627783_TOR23_IND23,0,F,Forward,TOR,2023-24,IND,2023-24,TOR 2023-24 → IND 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,688,642,0.091,0.082,0.019,0.019,-0.003,-0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.261,0.088,0.173,YES
C. Paul,101108,101108_PHX22_GSW23,0,G,G,PHX,2022-23,GSW,2023-24,PHX 2022-23 → GSW 2023-24,Pull-up scorer,Pull-up scorer,PULL_UP,PULL_UP,697,426,0.091,0.056,0.036,0.03,0.013,0.016,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.204,0.034,0.17,YES
D. Jones Jr.,1627884,1627884_CHI22_DAL23,0,F/Wing,F,CHI,2022-23,DAL,2023-24,CHI 2022-23 → DAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,231,504,0.03,0.067,0.025,0.014,0.013,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.213,0.045,0.167,YES
B. Hyland,1630538,1630538_DEN22_LAC22,0,G,Guard,DEN,2022-23,LAC,2022-23,DEN 2022-23 → LAC 2022-23,Pull-up scorer,Spot-up / off-ball,PULL_UP,SPOT_UP,442,129,0.059,0.017,0.029,0.002,0.014,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.14,-0.025,0.165,YES
K. Lowry,200768,200768_MIA23_PHI23,0,G,Guard,MIA,2023-24,PHI,2023-24,MIA 2023-24 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,256,152,0.034,0.02,0.004,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.479,0.315,0.163,YES
D. Schröder,203471,203471_GSW24_DET24,0,G,Guard,GSW,2024-25,DET,2024-25,GSW 2024-25 → DET 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,249,264,0.034,0.036,0.005,0.007,-0.007,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.14,-0.022,0.162,YES
Q. Grimes,1629656,1629656_NYK23_DAL24,0,G,Guard,NYK,2023-24,DAL,2024-25,NYK 2023-24 → DAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,264,364,0.036,0.05,0.006,0.006,-0.006,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.319,0.157,0.162,YES
P. Mills,201988,201988_MIA23_UTA24,0,G,G,MIA,2023-24,UTA,2024-25,MIA 2023-24 → UTA 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,83,73,0.011,0.01,0.001,0.009,-0.01,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.454,0.293,0.161,YES
D. McDermott,203926,203926_SAS23_IND23,0,F,Forward,SAS,2023-24,IND,2023-24,SAS 2023-24 → IND 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,204,64,0.026,0.008,0.003,0.002,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.015,-0.138,0.153,YES
T. Prince,1627752,1627752_LAL23_MIL24,0,F/Wing,F,LAL,2023-24,MIL,2024-25,LAL 2023-24 → MIL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,619,531,0.079,0.071,0.005,0.007,-0.014,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.619,0.469,0.149,YES
T. Ross,203082,203082_ORL22_PHX22,0,F,Guard-Forward,ORL,2022-23,PHX,2022-23,ORL 2022-23 → PHX 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,312,162,0.041,0.021,0.024,0.004,0.011,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.152,0.01,0.142,YES
D. Fox,1628368,1628368_SAC24_SAS24,0,G,Guard,SAC,2024-25,SAS,2024-25,SAC 2024-25 → SAS 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,927,295,0.126,0.04,0.02,0.008,-0.015,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.519,0.381,0.138,YES
N. Little,1629642,1629642_POR22_PHX23,0,F/Wing,F-G,POR,2022-23,PHX,2023-24,POR 2022-23 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,301,140,0.04,0.019,0.001,0.003,-0.012,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.195,-0.333,0.137,YES
T. Hardaway Jr.,203501,203501_DAL23_DET24,0,F/Wing,G-F,DAL,2023-24,DET,2024-25,DAL 2023-24 → DET 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,980,691,0.131,0.094,0.015,0.021,-0.021,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.105,-0.031,0.136,YES
D. Bertans,202722,202722_DAL22_CHA23,0,F/Wing,F,DAL,2022-23,CHA,2023-24,DAL 2022-23 → CHA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,155,194,0.021,0.026,0.004,0.014,-0.007,0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.467,0.333,0.134,YES
V. Micić,203995,203995_OKC23_CHA23,0,?,?,OKC,2023-24,CHA,2023-24,OKC 2023-24 → CHA 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,103,317,0.014,0.043,0.001,0.005,-0.01,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.104,-0.236,0.133,YES
S. Milton,1629003,1629003_MIN23_BKN24,0,F,Forward,MIN,2023-24,BKN,2024-25,MIN 2023-24 → BKN 2024-25,PnR ball-handler / hub,Driving creator,PNR,DRIVE,182,162,0.025,0.023,0.006,0.001,-0.005,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.588,0.46,0.128,YES
J. Green,201145,201145_DEN22_HOU23,0,F/Wing,F,DEN,2022-23,HOU,2023-24,DEN 2022-23 → HOU 2023-24,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,355,415,0.047,0.053,0.006,0.008,-0.007,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.132,0.009,0.124,YES
L. Kennard,1628379,1628379_LAC22_MEM22,0,G,Guard,LAC,2022-23,MEM,2022-23,LAC 2022-23 → MEM 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,229,179,0.03,0.023,0.001,0.007,-0.01,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.23,-0.354,0.124,YES
G. Williams,1629684,1629684_DAL23_CHA23,0,F,Forward,DAL,2023-24,CHA,2023-24,DAL 2023-24 → CHA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,299,301,0.04,0.041,0.005,0.003,-0.007,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.582,0.457,0.124,YES
G. Niang,1627777,1627777_CLE24_ATL24,0,F,Forward,CLE,2024-25,ATL,2024-25,CLE 2024-25 → ATL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,350,278,0.047,0.036,0.004,0.007,-0.009,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.356,0.234,0.122,YES
P. George,202331,202331_LAC23_PHI24,0,F/Wing,F,LAC,2023-24,PHI,2024-25,LAC 2023-24 → PHI 2024-25,Pull-up scorer,PnR ball-handler / hub,PULL_UP,PNR,1261,591,0.174,0.081,0.015,0.013,-0.045,-0.007,"High-usage, low structural influence",Peripheral / replaceable wiring,-0.151,-0.268,0.118,YES
I. Quickley,1630193,1630193_NYK23_TOR23,0,G,Guard,NYK,2023-24,TOR,2023-24,NYK 2023-24 → TOR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,367,606,0.05,0.08,0.004,0.008,-0.01,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.082,-0.036,0.117,YES
D. Schröder,203471,203471_BKN24_GSW24,0,G,Guard,BKN,2024-25,GSW,2024-25,BKN 2024-25 → GSW 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,345,249,0.048,0.034,0.01,0.005,-0.003,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.153,-0.266,0.113,YES
Z. Collins,1628380,1628380_SAS24_CHI24,0,F/C,Forward-Center,SAS,2024-25,CHI,2024-25,SAS 2024-25 → CHI 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,138,164,0.019,0.022,0.006,0.009,-0.005,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.03,-0.076,0.106,YES
R. Hampton,1630181,1630181_ORL22_DET22,0,G,Guard,ORL,2022-23,DET,2022-23,ORL 2022-23 → DET 2022-23,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,117,141,0.015,0.018,0.015,0.004,0.004,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.077,-0.182,0.105,YES
C. Payne,1626166,1626166_MIL23_PHI23,0,G,Guard,MIL,2023-24,PHI,2023-24,MIL 2023-24 → PHI 2023-24,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,254,273,0.033,0.036,0.003,0.002,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.074,-0.03,0.104,YES
D. Avdija,1630166,1630166_WAS23_POR24,0,F/Wing,F,WAS,2023-24,POR,2024-25,WAS 2023-24 → POR 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,925,985,0.117,0.133,0.09,0.006,0.059,-0.032,Standard role occupant,Peripheral / replaceable wiring,0.162,0.059,0.103,YES
J. Nwora,1629670,1629670_IND23_TOR23,0,F,Forward,IND,2023-24,TOR,2023-24,IND 2023-24 → TOR 2023-24,Transition initiator,PnR ball-handler / hub,TRANSITION,PNR,77,228,0.01,0.03,0.001,0.003,-0.01,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.241,0.149,0.092,YES
D. DiVincenzo,1628978,1628978_NYK23_MIN24,0,G,G,NYK,2023-24,MIN,2024-25,NYK 2023-24 → MIN 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,959,582,0.131,0.08,0.026,0.003,-0.011,-0.017,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.541,0.452,0.088,YES
K. Nunn,1629134,1629134_LAL22_WAS22,0,G,Guard,LAL,2022-23,WAS,2022-23,LAL 2022-23 → WAS 2022-23,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,254,202,0.032,0.026,0.004,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.526,0.44,0.086,YES
N. Batum,201587,201587_LAC22_PHI23,0,F/Wing,G-F,LAC,2022-23,PHI,2023-24,LAC 2022-23 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,347,213,0.046,0.028,0.01,0.013,-0.003,0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.454,0.371,0.083,YES
G. Allen,1628960,1628960_MIL22_PHX23,0,G,G,MIL,2022-23,PHX,2023-24,MIL 2022-23 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,615,682,0.078,0.091,0.026,0.019,0.007,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.196,0.114,0.082,YES
P. Beverley,201976,201976_CHI22_PHI23,0,G,G,CHI,2022-23,PHI,2023-24,CHI 2022-23 → PHI 2023-24,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,134,252,0.018,0.034,0.004,0.002,-0.007,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.088,0.007,0.081,YES
S. Milton,1629003,1629003_PHI22_MIN23,0,F/Wing,G-F,PHI,2022-23,MIN,2023-24,PHI 2022-23 → MIN 2023-24,Driving creator,PnR ball-handler / hub,DRIVE,PNR,576,182,0.079,0.025,0.006,0.006,-0.013,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.244,0.162,0.081,YES
K. Thompson,202691,202691_GSW23_DAL24,0,G,G,GSW,2023-24,DAL,2024-25,GSW 2023-24 → DAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,1149,847,0.151,0.117,0.011,0.029,-0.035,-0.002,"High-usage, low structural influence",Peripheral / replaceable wiring,0.153,0.073,0.08,YES
D. Graham,1628984,1628984_NOP22_SAS22,0,G,Guard,NOP,2022-23,SAS,2022-23,NOP 2022-23 → SAS 2022-23,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,254,212,0.033,0.027,0.002,0.007,-0.009,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.459,0.383,0.077,YES
C. Paul,101108,101108_GSW23_SAS24,0,G,G,GSW,2023-24,SAS,2024-25,GSW 2023-24 → SAS 2024-25,Pull-up scorer,PnR ball-handler / hub,PULL_UP,PNR,426,520,0.056,0.071,0.03,0.049,0.016,0.032,Peripheral / replaceable wiring,Standard role occupant,0.204,0.129,0.076,YES
J. Holiday,201950,201950_MIL22_BOS23,0,G,G,MIL,2022-23,BOS,2023-24,MIL 2022-23 → BOS 2023-24,Driving creator,Pull-up scorer,DRIVE,PULL_UP,1029,664,0.13,0.088,0.048,0.002,0.011,-0.02,Standard role occupant,Peripheral / replaceable wiring,-0.008,-0.075,0.067,YES
P. Achiuwa,1630173,1630173_TOR23_NYK23,0,F,Forward,TOR,2023-24,NYK,2023-24,TOR 2023-24 → NYK 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,163,245,0.022,0.034,0.002,0.002,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.146,-0.211,0.065,YES
D. Barlow,1631230,1631230_SAS23_ATL24,0,F/Wing,F,SAS,2023-24,ATL,2024-25,SAS 2023-24 → ATL 2024-25,Pull-up scorer,Cutter / connector,PULL_UP,CUT,95,108,0.012,0.014,0.004,0.003,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.238,0.175,0.062,YES
S. Dinwiddie,203915,203915_LAL23_DAL24,0,G,G,LAL,2023-24,DAL,2024-25,LAL 2023-24 → DAL 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,143,700,0.018,0.096,0.001,0.005,-0.01,-0.019,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.336,-0.398,0.062,YES
M. Brogdon,1627763,1627763_POR23_WAS24,0,G,G,POR,2023-24,WAS,2024-25,POR 2023-24 → WAS 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,508,271,0.07,0.037,0.013,0.046,-0.004,0.033,Peripheral / replaceable wiring,Standard role occupant,0.339,0.281,0.059,YES
C. Martin,1628997,1628997_MIA23_PHI24,0,F/Wing,F,MIA,2023-24,PHI,2024-25,MIA 2023-24 → PHI 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,535,256,0.072,0.035,0.006,0.002,-0.012,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.156,-0.214,0.058,YES
B. Brown,1628971,1628971_IND23_TOR23,0,F,Forward,IND,2023-24,TOR,2023-24,IND 2023-24 → TOR 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,352,304,0.045,0.04,0.004,0.001,-0.009,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.43,0.375,0.056,YES
Y. Watanabe,1629139,1629139_BKN22_PHX23,0,F/Wing,G-F,BKN,2022-23,PHX,2023-24,BKN 2022-23 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,236,86,0.032,0.011,0.005,0.003,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.638,0.582,0.056,YES
R. Jackson,202704,202704_DEN23_PHI24,0,G,G,DEN,2023-24,PHI,2024-25,DEN 2023-24 → PHI 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,796,134,0.106,0.018,0.028,0.004,0.001,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.065,-0.119,0.054,YES
R. O'Neale,1626220,1626220_BKN23_PHX23,0,F,Forward,BKN,2023-24,PHX,2023-24,BKN 2023-24 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,326,212,0.043,0.028,0.002,0.002,-0.011,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.535,0.482,0.054,YES
J. Holiday,203200,203200_DAL22_DEN23,0,F/Wing,F-G,DAL,2022-23,DEN,2023-24,DAL 2022-23 → DEN 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,80,180,0.011,0.024,0.004,0.017,-0.007,0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.015,-0.038,0.053,YES
K. Edwards,1630556,1630556_SAC23_DAL24,0,F/Wing,F,SAC,2023-24,DAL,2024-25,SAC 2023-24 → DAL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,69,125,0.009,0.017,0.003,0.002,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.114,0.062,0.052,YES
P. Mills,201988,201988_ATL23_MIA23,0,G,Guard,ATL,2023-24,MIA,2023-24,ATL 2023-24 → MIA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,52,83,0.007,0.011,0.003,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.117,-0.165,0.047,YES
J. Vanderbilt,1629020,1629020_UTA22_LAL22,0,F,Forward,UTA,2022-23,LAL,2022-23,UTA 2022-23 → LAL 2022-23,Cutter / connector,Cutter / connector,CUT,CUT,312,138,0.04,0.018,0.005,0.002,-0.007,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.664,-0.703,0.038,YES
K. Towns,1626157,1626157_MIN23_NYK24,0,F/C,C-F,MIN,2023-24,NYK,2024-25,MIN 2023-24 → NYK 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,1105,1224,0.149,0.17,0.008,0.009,-0.037,-0.048,Peripheral / replaceable wiring,"High-usage, low structural influence",0.018,-0.017,0.035,YES
K. Martin,1630231,1630231_PHI24_UTA24,0,F,Forward,PHI,2024-25,UTA,2024-25,PHI 2024-25 → UTA 2024-25,Transition initiator,Spot-up / off-ball,TRANSITION,SPOT_UP,105,107,0.014,0.015,0.004,0.013,-0.007,0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.6,-0.633,0.033,YES
