player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable
D. Gafford,1629655,1629655_WAS23_DAL23,0,F,Forward,WAS,2023-24,DAL,2023-24,WAS 2023-24 → DAL 2023-24,Cutter / connector,Cutter / connector,CUT,CUT,282,184,0.036,0.025,0.335,0.007,0.323,-0.005,Hidden structural hub,Peripheral / replaceable wiring,0.865,0.263,0.602,YES
F. VanVleet,1627832,1627832_TOR22_HOU23,0,G,G,TOR,2022-23,HOU,2023-24,TOR 2022-23 → HOU 2023-24,Pull-up scorer,Pull-up scorer,PULL_UP,PULL_UP,1159,1033,0.15,0.132,0.044,0.066,-0.002,0.028,Standard role occupant,Standard role occupant,0.445,-0.121,0.566,YES
J. Green,1629750,1629750_CHI23_NOP24,0,G,G,CHI,2023-24,NOP,2024-25,CHI 2023-24 → NOP 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,70,208,0.01,0.028,0.006,0.002,-0.005,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.294,-0.264,0.558,YES
D. DeRozan,201942,201942_CHI23_SAC24,0,F/Wing,G-F,CHI,2023-24,SAC,2024-25,CHI 2023-24 → SAC 2024-25,Post hub,Post hub,POST_UP,POST_UP,1495,1333,0.203,0.182,0.087,0.109,0.009,0.045,Standard role occupant,Primary grammar carrier,0.61,0.063,0.546,YES
D. Eubanks,1629234,1629234_POR22_PHX23,0,F/C,F-C,POR,2022-23,PHX,2023-24,POR 2022-23 → PHX 2023-24,Post hub,Cutter / connector,POST_UP,CUT,356,269,0.047,0.036,0.068,0.072,0.054,0.06,Standard role occupant,Standard role occupant,0.732,0.192,0.54,YES
M. Smart,203935,203935_MEM24_WAS24,0,G,Guard,MEM,2024-25,WAS,2024-25,MEM 2024-25 → WAS 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,164,118,0.021,0.016,0.007,0.027,-0.004,0.016,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.949,0.411,0.538,YES
G. Mathews,1629726,1629726_HOU22_ATL23,0,G,Guard,HOU,2022-23,ATL,2023-24,HOU 2022-23 → ATL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,167,223,0.022,0.029,0.015,0.002,0.003,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.215,-0.323,0.538,YES
J. Cain,1631288,1631288_MIA23_NOP24,0,F/Wing,F,MIA,2023-24,NOP,2024-25,MIA 2023-24 → NOP 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,76,162,0.01,0.022,0.001,0.002,-0.01,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.666,0.129,0.537,YES
S. Mamukelashvili,1630572,1630572_MIL22_SAS22,0,F/C,Forward-Center,MIL,2022-23,SAS,2022-23,MIL 2022-23 → SAS 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,60,163,0.008,0.021,0.031,0.005,0.02,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.454,-0.078,0.533,YES
B. Fernando,1628981,1628981_HOU22_ATL23,0,F/C,Forward-Center,HOU,2022-23,ATL,2023-24,HOU 2022-23 → ATL 2023-24,Cutter / connector,PnR ball-handler / hub,CUT,PNR,92,194,0.012,0.025,0.009,0.005,-0.002,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.328,-0.203,0.532,YES
S. Dinwiddie,203915,203915_DAL22_BKN22,0,G,Guard,DAL,2022-23,BKN,2022-23,DAL 2022-23 → BKN 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,720,394,0.097,0.053,0.018,0.008,-0.006,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.572,0.042,0.531,YES
D. Lillard,203081,203081_POR22_MIL23,0,G,G,POR,2022-23,MIL,2023-24,POR 2022-23 → MIL 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,1370,1416,0.182,0.182,0.041,0.052,-0.022,-0.011,"High-usage, low structural influence",Standard role occupant,0.367,-0.149,0.516,YES
D. Murray,1627749,1627749_ATL23_NOP24,0,G,G,ATL,2023-24,NOP,2024-25,ATL 2023-24 → NOP 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,1506,505,0.193,0.069,0.024,0.007,-0.047,-0.01,"High-usage, low structural influence",Peripheral / replaceable wiring,0.628,0.144,0.484,YES
J. McGee,201580,201580_DAL22_SAC23,0,F/C,C-F,DAL,2022-23,SAC,2023-24,DAL 2022-23 → SAC 2023-24,Cutter / connector,Cutter / connector,CUT,CUT,140,115,0.019,0.015,0.004,0.008,-0.007,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.636,0.152,0.484,YES
C. Reddish,1629629,1629629_NYK22_POR22,0,F,Forward-Guard,NYK,2022-23,POR,2022-23,NYK 2022-23 → POR 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,157,203,0.021,0.027,0.005,0.003,-0.006,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.639,0.169,0.47,YES
J. Harden,201935,201935_PHI22_LAC23,0,G,G,PHI,2022-23,LAC,2023-24,PHI 2022-23 → LAC 2023-24,Driving creator,Pull-up scorer,DRIVE,PULL_UP,887,884,0.121,0.122,0.024,0.02,-0.009,-0.013,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.727,0.263,0.464,YES
B. Hield,1627741,1627741_PHI23_GSW24,0,G,G,PHI,2023-24,GSW,2024-25,PHI 2023-24 → GSW 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,324,707,0.043,0.097,0.004,0.016,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.243,-0.217,0.461,YES
D. Russell,1626156,1626156_LAL24_BKN24,0,G,Guard,LAL,2024-25,BKN,2024-25,LAL 2024-25 → BKN 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,323,335,0.045,0.047,0.001,0.005,-0.012,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.398,-0.062,0.461,YES
D. Jones Jr.,1627884,1627884_DAL23_LAC24,0,F/Wing,F,DAL,2023-24,LAC,2024-25,DAL 2023-24 → LAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,504,601,0.067,0.085,0.014,0.03,-0.002,0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.527,0.074,0.453,YES
C. Joseph,202709,202709_GSW23_ORL24,0,G,Guard,GSW,2023-24,ORL,2024-25,GSW 2023-24 → ORL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,59,141,0.008,0.02,0.004,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.539,0.09,0.449,YES
C. LeVert,1627747,1627747_CLE24_ATL24,0,G,Guard,CLE,2024-25,ATL,2024-25,CLE 2024-25 → ATL 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,319,298,0.043,0.039,0.003,0.008,-0.01,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.176,-0.267,0.443,YES
L. Nance Jr.,1626204,1626204_NOP23_ATL24,0,F/C,F-C,NOP,2023-24,ATL,2024-25,NOP 2023-24 → ATL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,239,154,0.031,0.02,0.009,0.004,-0.003,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.568,0.131,0.437,YES
M. Bridges,1628969,1628969_BKN23_NYK24,0,F/Wing,G-F,BKN,2023-24,NYK,2024-25,BKN 2023-24 → NYK 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,1453,1112,0.193,0.155,0.022,0.093,-0.048,0.045,"High-usage, low structural influence",Standard role occupant,0.451,0.017,0.434,YES
K. Knox II,1628995,1628995_DET22_POR22,0,F,Forward,DET,2022-23,POR,2022-23,DET 2022-23 → POR 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,203,154,0.027,0.02,0.003,0.002,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.166,-0.578,0.412,YES
C. Wood,1626174,1626174_DAL22_LAL23,0,F/Wing,F,DAL,2022-23,LAL,2023-24,DAL 2022-23 → LAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,890,278,0.12,0.036,0.012,0.002,-0.021,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.418,0.008,0.409,YES
C. Payne,1626166,1626166_PHI23_NYK24,0,G,G,PHI,2023-24,NYK,2024-25,PHI 2023-24 → NYK 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,273,425,0.036,0.059,0.002,0.011,-0.01,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.378,-0.03,0.408,YES
A. Davis,203076,203076_LAL24_DAL24,0,F/C,Forward-Center,LAL,2024-25,DAL,2024-25,LAL 2024-25 → DAL 2024-25,Post hub,PnR ball-handler / hub,POST_UP,PNR,811,152,0.113,0.021,0.023,0.003,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.206,-0.2,0.405,YES
N. Batum,201587,201587_PHI23_LAC24,0,F/Wing,G-F,PHI,2023-24,LAC,2024-25,PHI 2023-24 → LAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,213,217,0.028,0.031,0.013,0.01,0.002,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.533,0.131,0.402,YES
G. Trent Jr.,1629018,1629018_TOR23_MIL24,0,G,G,TOR,2023-24,MIL,2024-25,TOR 2023-24 → MIL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,855,665,0.113,0.089,0.007,0.012,-0.022,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.681,0.281,0.4,YES
J. Nurkić,203994,203994_POR22_PHX23,0,C,C,POR,2022-23,PHX,2023-24,POR 2022-23 → PHX 2023-24,Post hub,PnR ball-handler / hub,POST_UP,PNR,552,685,0.073,0.091,0.026,0.007,0.008,-0.016,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.471,0.077,0.394,YES
J. Nwora,1629670,1629670_MIL22_IND22,0,F,Forward,MIL,2022-23,IND,2022-23,MIL 2022-23 → IND 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,210,270,0.027,0.034,0.007,0.006,-0.004,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.458,0.074,0.384,YES
