mover_id,player_id,player,f1,f2,yy1,yy2,gap_seasons,dest_fr,self_sim,decoy_sim,delta
1628381_ATL22_UTA23,1628381,J. Collins,ATL,UTA,22,23,0,UTA,0.38482460787994244,-0.7512102902105975,1.13603489809054
1628384_TOR23_NYK23,1628384,O. Anunoby,TOR,NYK,23,23,0,NYK,0.1982129530326913,0.3838842296673024,-0.1856712766346111
1628392_NYK23_OKC24,1628392,I. Hartenstein,NYK,OKC,23,24,0,OKC,0.77983868398076,0.006593137548319814,0.7732455464324401
1628398_WAS24_MIL24,1628398,K. Kuzma,WAS,MIL,24,24,0,MIL,-0.10274128907644586,-0.3260477655868142,0.22330647651036833
1628404_POR22_NYK22,1628404,J. Hart,POR,NYK,22,22,0,NYK,0.32501439533583054,0.02199034264457575,0.30302405269125476
1628415_MEM22_HOU23,1628415,D. Brooks,MEM,HOU,22,23,0,HOU,-0.28643071805610215,-0.017216339199567825,-0.2692143788565343
1628418_LAL22_DEN22,1628418,T. Bryant,LAL,DEN,22,22,0,DEN,-0.25633061390163037,-0.1938900211755895,-0.062440592726040856
1628418_DEN22_MIA23,1628418,T. Bryant,DEN,MIA,22,23,0,MIA,-0.058278430226623705,0.023009952501759474,-0.08128838272838318
1628418_MIA23_IND24,1628418,T. Bryant,MIA,IND,23,24,0,IND,0.3467868594311877,0.045915825288273794,0.3008710341429139
1628420_WAS22_MIN23,1628420,M. Morris,WAS,MIN,22,23,0,MIN,0.15461600602821576,0.3258165406403889,-0.17120053461217313
1628420_MIN23_PHX24,1628420,M. Morris,MIN,PHX,23,24,0,PHX,-0.19962487709679927,-0.12658429702148624,-0.07304058007531303
1628464_LAC23_NOP24,1628464,D. Theis,LAC,NOP,23,24,0,NOP,0.43424302682241867,0.21263271823890134,0.22161030858351732
1628470_PHX22_CHI23,1628470,T. Craig,PHX,CHI,22,23,0,CHI,0.45987199437112275,0.15313516082815043,0.3067368335429723
1628960_MIL22_PHX23,1628960,G. Allen,MIL,PHX,22,23,0,PHX,0.19605785156680733,0.11395393006667554,0.0821039215001318
1628963_DET23_WAS23,1628963,M. Bagley III,DET,WAS,23,23,0,WAS,-0.25052311196139054,0.00749280564487044,-0.25801591760626097
1628964_ORL22_PHI23,1628964,M. Bamba,ORL,PHI,22,23,0,PHI,-0.2092821676590656,-0.0014102498034777255,-0.20787191785558787
1628964_PHI23_LAC24,1628964,M. Bamba,PHI,LAC,23,24,0,LAC,-0.6882870046554566,0.09317325556334854,-0.7814602602188051
1628966_SAS22_PHX23,1628966,K. Bates-Diop,SAS,PHX,22,23,0,PHX,-0.626280874021887,-0.6448492959657088,0.0185684219438218
1628969_PHX22_BKN22,1628969,M. Bridges,PHX,BKN,22,22,0,BKN,-0.7811080502009032,-0.7294618030786038,-0.05164624712229948
1628969_BKN23_NYK24,1628969,M. Bridges,BKN,NYK,23,24,0,NYK,0.45098923766940785,0.016910011984890394,0.43407922568451746
1628971_DEN22_IND23,1628971,B. Brown,DEN,IND,22,23,0,IND,-0.09670848502110113,0.022732203835287085,-0.11944068885638821
1628971_IND23_TOR23,1628971,B. Brown,IND,TOR,23,23,0,TOR,0.4303733557250347,0.37470075795329055,0.05567259777174416
1628971_TOR24_NOP24,1628971,B. Brown,TOR,NOP,24,24,0,NOP,0.42419912935568094,0.7016231942237502,-0.27742406486806925
1628972_LAL22_MIN23,1628972,T. Brown Jr.,LAL,MIN,22,23,0,MIN,0.1822045086235604,0.3304462981537623,-0.1482417895302019
1628972_MIN23_DET23,1628972,T. Brown Jr.,MIN,DET,23,23,0,DET,0.5719742054314931,0.5738630469193062,-0.0018888414878130977
1628975_MIL22_CHI23,1628975,J. Carter,MIL,CHI,22,23,0,CHI,0.03353620854528075,0.05274205069604326,-0.019205842150762514
1628978_GSW22_NYK23,1628978,D. DiVincenzo,GSW,NYK,22,23,0,NYK,0.29783390737307885,0.11888006430927409,0.17895384306380477
1628978_NYK23_MIN24,1628978,D. DiVincenzo,NYK,MIN,23,24,0,MIN,0.5406240001681246,0.4522569778891404,0.08836702227898424
1628981_HOU22_ATL23,1628981,B. Fernando,HOU,ATL,22,23,0,ATL,0.3284351533604674,-0.2032591326905057,0.5316942860509731
1628984_NOP22_SAS22,1628984,D. Graham,NOP,SAS,22,22,0,SAS,0.4592789604263915,0.3825199439808872,0.07675901644550431
1628988_ATL22_HOU23,1628988,A. Holiday,ATL,HOU,22,23,0,HOU,-0.08189551534123533,0.07366091395929603,-0.15555642930053137
1628989_SAC24_CHI24,1628989,K. Huerter,SAC,CHI,24,24,0,CHI,0.11384705958822874,-0.18857908642114038,0.3024261460093691
1628995_DET22_POR22,1628995,K. Knox II,DET,POR,22,22,0,POR,-0.16636136973100066,-0.5781981460839694,0.41183677635296867
1628995_POR22_DET23,1628995,K. Knox II,POR,DET,22,23,0,DET,-0.2105624924064045,-0.04353012059816127,-0.16703237180824324
1628997_MIA23_PHI24,1628997,C. Martin,MIA,PHI,23,24,0,PHI,-0.15623520477726996,-0.21445244755946996,0.0582172427822
1628997_PHI24_DAL24,1628997,C. Martin,PHI,DAL,24,24,0,DAL,-0.019402113524255145,-0.24796859964281404,0.2285664861185589
1628998_CHA24_PHX24,1628998,C. Martin,CHA,PHX,24,24,0,PHX,0.8284526739855989,0.536422997704392,0.2920296762812069
1629001_PHI23_GSW24,1629001,D. Melton,PHI,GSW,23,24,0,GSW,0.022851210267528187,0.07392318985203834,-0.05107197958451015
1629002_SAC22_PHX23,1629002,C. Metu,SAC,PHX,22,23,0,PHX,0.4420096769087164,0.21806413967021038,0.22394553723850602
1629002_PHX23_DET23,1629002,C. Metu,PHX,DET,23,23,0,DET,0.5882759670856725,-0.02627995677413033,0.6145559238598028
1629003_PHI22_MIN23,1629003,S. Milton,PHI,MIN,22,23,0,MIN,0.2435690603609313,0.16235605887769206,0.08121300148323923
1629003_MIN23_BKN24,1629003,S. Milton,MIN,BKN,23,24,0,BKN,0.5881978849850967,0.45976926375223676,0.12842862123285997
