role,n,n_A,mean_DA,median_DA,mean_Dpi,median_Dpi,mean_L,mean_usage,mean_min_half
PRIMARY ORGANIZER,96,96,0.2140559348021154,0.1702101028709484,0.06525999407260215,0.06559443722910221,0.09380534228115973,0.2437916666666667,2717.9583333333335
CONNECTOR / HUB,102,102,0.20197789666876229,0.15124212855347352,0.05753494065730102,0.05390670979182443,0.07751472270396784,0.14418627450980395,2562.392156862745
TERMINAL SCORER,361,361,0.1122518624472054,0.09438633964824872,0.0531222801261136,0.05061933920812808,0.014073686455126912,0.23316066481994463,2558.936288088643
ROLE OCCUPANT / SPECIALIST,349,349,0.10206537931282503,0.08464046367102607,0.047585282021729645,0.045361229761993554,0.006213005553964904,0.14763037249283667,2319.3982808022924
