key,tri,yy,player_id,player,u,Lcos,Lfrob
ATL_22,ATL,22,1626163,F. Kaminsky,0.006269592476489028,0.001508183401665919,40.67626513767633
ATL_22,ATL,22,1627749,D. Murray,0.16764890282131661,0.010706957909716097,92.22587497086802
ATL_22,ATL,22,1628381,J. Collins,0.09341692789968652,0.00492027985539123,84.88201318325237
ATL_22,ATL,22,1628988,A. Holiday,0.027836990595611285,0.0008648705742956286,20.285621170821216
ATL_22,ATL,22,1629027,T. Young,0.22783699059561127,0.07088666290647738,208.48801984617032
ATL_22,ATL,22,1629631,D. Hunter,0.10921630094043887,0.013156891456466147,76.50987919980672
ATL_22,ATL,22,1630168,O. Okongwu,0.06006269592476489,0.006668457806156325,54.150361277581695
ATL_22,ATL,22,1630180,S. Bey,0.02658307210031348,0.0017993170953491955,28.88363779561327
ATL_22,ATL,22,1630235,T. Forrest,0.008275862068965517,0.0033471927963141246,50.23777778406326
ATL_22,ATL,22,1630552,J. Johnson,0.04188087774294671,0.00493886809148214,46.416522073005694
ATL_22,ATL,22,1631100,A. Griffin,0.06532915360501568,0.0023907735713025735,43.99717021542242
ATL_22,ATL,22,203200,J. Holiday,0.014921630094043887,0.004262937898529384,55.89354516178474
ATL_22,ATL,22,203991,C. Capela,0.055047021943573665,0.021732825529354738,172.5735649509832
ATL_22,ATL,22,203992,B. Bogdanović,0.07623824451410659,0.004507701534369191,46.29071697469633
BKN_22,BKN,22,1626220,R. O'Neale,0.0757169659608684,0.018053192500806725,113.38620480796317
BKN_22,BKN,22,1627732,B. Simmons,0.03564727954971857,0.0066361634975805606,79.29882788374319
BKN_22,BKN,22,1627827,D. Finney-Smith,0.024122219244170465,0.004646064245073744,57.62855091359599
BKN_22,BKN,22,1628410,E. Sumner,0.044224068614312516,0.003957345161465731,54.968185725428015
BKN_22,BKN,22,1628969,M. Bridges,0.0790672741892254,0.01010556472957902,83.55687087620977
BKN_22,BKN,22,1629139,Y. Watanabe,0.031626909675690165,0.004878951105500295,59.66248483056076
BKN_22,BKN,22,1629651,N. Claxton,0.08657196462074511,0.08452400268603233,259.10591256537424
BKN_22,BKN,22,1629661,C. Johnson,0.04489413025998392,0.004715594197166273,62.7369967809616
BKN_22,BKN,22,1630549,D. Sharpe,0.017555615116590727,0.004895554904120636,58.299832916608445
BKN_22,BKN,22,1630560,C. Thomas,0.07116054677030287,0.006918798476027832,70.0228532400765
BKN_22,BKN,22,1630561,D. Duke Jr.,0.010452961672473868,0.007641826737092461,73.23589799337174
BKN_22,BKN,22,201142,K. Durant,0.11471455373894399,0.019137143854796035,147.4218276958866
BKN_22,BKN,22,201988,P. Mills,0.02975073706781024,0.0031860539847441416,54.201740947515916
BKN_22,BKN,22,202681,K. Irving,0.11659072634682391,0.009019889766997635,79.97590113223774
BKN_22,BKN,22,202693,M. Morris,0.010452961672473868,0.003089661749931305,46.29791630478045
BKN_22,BKN,22,203552,S. Curry,0.0613776467435004,0.0036768624664019756,75.60065798472989
BKN_22,BKN,22,203915,S. Dinwiddie,0.05280085767890646,0.008412663766702577,79.10712513711105
BKN_22,BKN,22,203925,J. Harris,0.05682122755293487,0.007423119857792759,82.76751178668545
BKN_22,BKN,22,203933,T. Warren,0.027606539801661754,0.004194637205672813,55.066165450218584
BOS_22,BOS,22,1627759,J. Brown,0.19786302780638518,0.02332789783519207,79.00455100990808
BOS_22,BOS,22,1627763,M. Brogdon,0.10260041194644696,0.011137103990883634,58.32788516296102
BOS_22,BOS,22,1628369,J. Tatum,0.2336508753861998,0.009413166125130101,65.41622559207832
BOS_22,BOS,22,1628401,D. White,0.10839340885684862,0.0009081060100917249,19.559398998318194
BOS_22,BOS,22,1628436,L. Kornet,0.017636457260556127,0.008453011656014975,96.09873773632981
BOS_22,BOS,22,1629057,R. Williams III,0.016735324407826983,0.015915236993069848,114.59831582807858
BOS_22,BOS,22,1629684,G. Williams,0.06346549948506694,0.002217434710545696,51.263074915850304
BOS_22,BOS,22,1630202,P. Pritchard,0.029351184346035016,0.002420276026658841,27.450929491172033
BOS_22,BOS,22,1630573,S. Hauser,0.04814624098867147,0.010784448369775546,54.52354149824815
BOS_22,BOS,22,201143,A. Horford,0.058831101956745624,0.012765935134441353,67.81626636367744
BOS_22,BOS,22,201933,B. Griffin,0.017507723995880537,0.003888124013388783,34.50456607079376
BOS_22,BOS,22,203488,M. Muscala,0.01119979402677652,0.0007111411253130084,14.10018404737797
BOS_22,BOS,22,203935,M. Smart,0.08483522142121525,0.0008256250038896074,45.983180647220834
CHA_22,CHA,22,1626162,K. Oubre Jr.,0.11543918483167806,0.0026642607519252737,44.57228670005276
CHA_22,CHA,22,1626179,T. Rozier,0.1543918483167806,0.016480560002664957,93.78361504048469
CHA_22,CHA,22,1628372,D. Smith Jr.,0.06539404101638076,0.004009779903239252,67.26121036407928
CHA_22,CHA,22,1629004,S. Mykhailiuk,0.02115310202502257,0.0030574868507824426,63.5397504931989
CHA_22,CHA,22,1629023,P. Washington,0.13078808203276152,0.0029121961507091454,41.887260485037615
CHA_22,CHA,22,1629667,J. McDaniels,0.07003740487553205,0.00999238728989782,75.22441075265527
CHA_22,CHA,22,1630163,L. Ball,0.09131948922997549,0.009728827791649297,71.60060195289044
CHA_22,CHA,22,1630177,T. Maledon,0.03675996388494776,0.005082735375150138,54.27991176525895
CHA_22,CHA,22,1630208,N. Richards,0.036630981555526895,0.0053262002999949765,64.99485029655395
CHA_22,CHA,22,1630539,K. Jones,0.01573584418934606,0.00695755751213456,151.64791646106082
CHA_22,CHA,22,1630547,J. Bouknight,0.025925448213594736,0.0033365002031787716,110.3949085546134
CHA_22,CHA,22,1630550,J. Thor,0.030568812072746032,0.0035242064450892174,60.79564658092784
CHA_22,CHA,22,1631109,M. Williams,0.027473236166645168,0.007396119779513821,65.73223818688399
CHA_22,CHA,22,1631121,B. McGowens,0.031729653037533855,0.003738319221502584,55.68539726560339
CHA_22,CHA,22,202330,G. Hayward,0.08190377918225203,0.010115615050962923,101.47559247168438
CHA_22,CHA,22,203486,M. Plumlee,0.05701018960402425,0.01185610015590588,85.18277039338814
CHI_22,CHI,22,1627884,D. Jones Jr.,0.030470914127423823,0.024525157220422145,90.59393257352212
CHI_22,CHI,22,1627936,A. Caruso,0.03957261574990107,0.008868148418675337,49.44405521657187
CHI_22,CHI,22,1629632,C. White,0.08389394538979027,0.013909712962976495,72.37726824725516
CHI_22,CHI,22,1629750,J. Green,0.014509959108297058,0.006899957691144598,43.6304960604509
CHI_22,CHI,22,1630172,P. Williams,0.09035747262894077,0.004446815007846494,44.86242522108456
CHI_22,CHI,22,1630245,A. Dosunmu,0.0804643186914655,0.010926386810721112,67.04984609677678
CHI_22,CHI,22,1631207,D. Terry,0.009233610341643583,0.006732414156332633,43.980534938836584
CHI_22,CHI,22,201609,G. Dragic,0.043793694763223846,0.004275532578592145,37.78106686710431
CHI_22,CHI,22,201942,D. DeRozan,0.1937739084553489,0.11391245419198537,185.98453343090358
CHI_22,CHI,22,201976,P. Beverley,0.017675768368289144,0.004288704760162965,34.78556824376335
CHI_22,CHI,22,202696,N. Vučević,0.15617992349294288,0.038934569394752816,102.68396495738911
CHI_22,CHI,22,203083,A. Drummond,0.03099854900408917,0.04617530096759459,111.66716792101842
CHI_22,CHI,22,203897,Z. LaVine,0.20247988392032715,0.0393606206821111,104.20120393562263
CLE_22,CLE,22,1626224,C. Osman,0.073751840449739,0.007883331464086374,72.10681405783689
CLE_22,CLE,22,1627747,C. LeVert,0.10882077365814483,0.011695261116493105,116.16636823428813
CLE_22,CLE,22,1628378,D. Mitchell,0.20639807254718243,0.03962760844263935,199.76029794925566
CLE_22,CLE,22,1628386,J. Allen,0.08205059563646099,0.02476977054646312,125.78622936520257
CLE_22,CLE,22,1629603,M. Diakite,0.006692544505420961,0.0044933691915156615,45.61305535209623
CLE_22,CLE,22,1629636,D. Garland,0.16343193682237986,0.030462947001634544,146.72013039734625
CLE_22,CLE,22,1629731,D. Wade,0.022754651318431268,0.008918956849930715,83.86287308844969
CLE_22,CLE,22,1630171,I. Okoro,0.05206799625217508,0.005392766639413904,59.476520169566015
CLE_22,CLE,22,1630205,L. Stevens,0.040289117922634184,0.0020444712808195264,33.7458764928415
CLE_22,CLE,22,1630596,E. Mobley,0.139204925712756,0.014697382267978787,88.49902799433171
CLE_22,CLE,22,201567,K. Love,0.03774595101057422,0.00405871954380832,74.08815933035157
CLE_22,CLE,22,201577,R. Lopez,0.011109623878998795,0.002621876789473454,46.93319122650144
CLE_22,CLE,22,201937,R. Rubio,0.025297818230491233,0.00992587772900888,71.10205718538343
CLE_22,CLE,22,203526,R. Neto,0.018203721054745013,0.005880728728687168,61.94117908648849
DAL_22,DAL,22,1626174,C. Wood,0.12007555315704263,0.011789314626362901,203.227870236852
DAL_22,DAL,22,1627827,D. Finney-Smith,0.039665407447382624,0.010482185361386231,94.73315472777067
DAL_22,DAL,22,1628373,F. Ntilikina,0.01929303831624393,0.003565602260763967,49.44336237810899
DAL_22,DAL,22,1628467,M. Kleber,0.022800863464651915,0.0025208718851845724,64.84331369669906
