model,beta,pts_per_100,cluster_se,t,p,n,mde80_pts100,coef_HasShaper_pts100,t_HasShaper,coef_n_ORGANIZER_pts100,t_n_ORGANIZER,coef_n_SHAPER_pts100,t_n_SHAPER,coef_n_TERMINAL_pts100,t_n_TERMINAL,coef_TALENT_pts100,t_TALENT,ci_lo_ts,ci_hi_ts,ci_excl0_ts,ci_lo_franchise,ci_hi_franchise,ci_excl0_franchise
"M1 PRIMARY: HasShaper->PPP (no play-type FE, TALENT-controlled)",3.07202410760252e-05,0.0030720241076025202,0.006850552924818293,0.004484344754819924,0.9964220225466147,420993,1.919240631587706,0.0030720241076025202,0.004484344754819924,2.4251543475459343,4.614349656189932,1.1691016418404345,2.2536917809985915,1.379522859846251,4.490138024425815,8.383555480556693,1.365874191868901,-0.013705586943954715,0.014795237339695894,False,-0.015302547859668955,0.01521597214065315,False
M2 robustness: WITH play-type FE (within-play),-0.0028383745463860344,-0.28383745463860344,0.006913122525833064,-0.4105777867786304,0.6813821545765122,420993,1.9367700371536025,-0.28383745463860344,-0.4105777867786304,2.683776057878883,4.962318639299459,1.2338116114662372,2.3601588443597383,1.465477106304078,4.681148565550884,6.451990393816198,0.9970459893352491,-0.01632135171200904,0.01216726704065851,False,,,
NAIVE robustness: talent control REMOVED (matches original paper spec),0.00040615006735607534,0.040615006735607535,0.007003939526773621,0.05798880270217998,0.9537575476676614,420993,1.9622131919116077,0.040615006735607535,0.05798880270217998,2.4862300728102174,4.6113131360363635,1.24257189090793,2.383209170265659,1.389704744527106,4.4136438164005005,,,-0.013636058546612222,0.015118654782924824,False,,,
M1 robustness: >=4/5 classified inclusion,-0.0036575773575370247,-0.36575773575370246,0.007055609835908282,-0.5183928026918991,0.6041842352948792,581640,1.9766890682133105,-0.36575773575370246,-0.5183928026918991,2.505903072370298,5.271940283702944,1.2604534950022859,2.544333579595174,1.4602415153707595,6.447282214631658,26.063506724781544,4.397097503807481,-0.01794911331666725,0.010397716385636276,False,,,
